item,buf_idx,ts_read_submit_us,ts_nvme_done_us,ts_h2d_submit_us,ts_h2d_done_us,ts_slot_release_us
0,2,3322549800893,3322549801540,3322549808398,3322549808985,3322549808995
1,3,3322549801059,3322549801982,3322549815799,3322549816180,3322549816187
2,4,3322549801221,3322549802414,3322549822939,3322549823317,3322549823325
3,5,3322549801384,3322549802414,3322549830111,3322549830493,3322549830501
4,6,3322549801824,3322549802414,3322549837165,3322549837540,3322549837547
5,7,3322549802257,3322549802849,3322549844293,3322549844671,3322549844679
6,8,3322549802692,3322549804149,3322549851344,3322549851721,3322549851728
7,9,3322549803124,3322549803715,3322549858507,3322549858884,3322549858891
8,10,3322549803558,3322549804149,3322549865661,3322549866037,3322549866045
9,11,3322549803991,3322549805052,3322549872735,3322549873113,3322549873120
10,12,3322549804425,3322549805052,3322549879872,3322549880245,3322549880253
11,13,3322549804890,3322549805487,3322549886983,3322549887332,3322549887340
12,14,3322549805336,3322549806351,3322549893989,3322549894366,3322549894373
13,15,3322549805759,3322549806352,3322549901103,3322549901480,3322549901487
14,0,3322549806194,3322549806796,3322549908191,3322549908569,3322549908577
15,1,3322549806637,3322549807663,3322549915362,3322549915739,3322549915746
16,2,3322549915913,3322549916230,3322549922919,3322549923295,3322549923302
17,3,3322549916072,3322549916230,3322549923309,3322549923663,3322549923669
