name,offset,size,shape,dtype
model.decoder.layers.18.self_attn.q_proj.weight,38072115200,26214400,2560x2560,torch.float32
model.decoder.layers.18.self_attn.q_proj.bias,38098329600,10240,2560,torch.float32
model.decoder.layers.18.self_attn.out_proj.weight,38098339840,26214400,2560x2560,torch.float32
model.decoder.layers.18.self_attn.out_proj.bias,38124554240,10240,2560,torch.float32
model.decoder.layers.18.self_attn_layer_norm.weight,38124564480,10240,2560,torch.float32
model.decoder.layers.18.self_attn_layer_norm.bias,38124574720,10240,2560,torch.float32
model.decoder.layers.18.fc1.weight,38124584960,104857600,10240x2560,torch.float32
model.decoder.layers.18.fc1.bias,38229442560,40960,10240,torch.float32
model.decoder.layers.18.fc2.weight,38229483520,104857600,2560x10240,torch.float32
model.decoder.layers.18.fc2.bias,38334341120,10240,2560,torch.float32
model.decoder.layers.18.final_layer_norm.weight,38334351360,10240,2560,torch.float32
model.decoder.layers.18.final_layer_norm.bias,38334361600,10240,2560,torch.float32
model.decoder.layers.19.self_attn.k_proj.weight,38334371840,26214400,2560x2560,torch.float32
model.decoder.layers.19.self_attn.k_proj.bias,38360586240,10240,2560,torch.float32
model.decoder.layers.19.self_attn.v_proj.weight,38360596480,26214400,2560x2560,torch.float32
model.decoder.layers.19.self_attn.v_proj.bias,38386810880,10240,2560,torch.float32
model.decoder.layers.19.self_attn.q_proj.weight,38386821120,26214400,2560x2560,torch.float32
model.decoder.layers.19.self_attn.q_proj.bias,38413035520,10240,2560,torch.float32
model.decoder.layers.19.self_attn.out_proj.weight,38413045760,26214400,2560x2560,torch.float32
model.decoder.layers.19.self_attn.out_proj.bias,38439260160,10240,2560,torch.float32
model.decoder.layers.19.self_attn_layer_norm.weight,38439270400,10240,2560,torch.float32
model.decoder.layers.19.self_attn_layer_norm.bias,38439280640,10240,2560,torch.float32
model.decoder.layers.19.fc1.weight,38439290880,104857600,10240x2560,torch.float32
model.decoder.layers.19.fc1.bias,38544148480,40960,10240,torch.float32
model.decoder.layers.19.fc2.weight,38544189440,104857600,2560x10240,torch.float32
model.decoder.layers.19.fc2.bias,38649047040,10240,2560,torch.float32
model.decoder.layers.19.final_layer_norm.weight,38649057280,10240,2560,torch.float32
model.decoder.layers.19.final_layer_norm.bias,38649067520,10240,2560,torch.float32
model.decoder.layers.20.self_attn.k_proj.weight,38649077760,26214400,2560x2560,torch.float32
model.decoder.layers.20.self_attn.k_proj.bias,38675292160,10240,2560,torch.float32
model.decoder.layers.20.self_attn.v_proj.weight,38675302400,26214400,2560x2560,torch.float32
model.decoder.layers.20.self_attn.v_proj.bias,38701516800,10240,2560,torch.float32
model.decoder.layers.20.self_attn.q_proj.weight,38701527040,26214400,2560x2560,torch.float32
model.decoder.layers.20.self_attn.q_proj.bias,38727741440,10240,2560,torch.float32
model.decoder.layers.20.self_attn.out_proj.weight,38727751680,26214400,2560x2560,torch.float32
model.decoder.layers.20.self_attn.out_proj.bias,38753966080,10240,2560,torch.float32
model.decoder.layers.20.self_attn_layer_norm.weight,38753976320,10240,2560,torch.float32
model.decoder.layers.20.self_attn_layer_norm.bias,38753986560,10240,2560,torch.float32
