item,buf_idx,ts_read_submit_us,ts_nvme_done_us,ts_h2d_submit_us,ts_h2d_done_us,ts_slot_release_us
0,2,3322657676379,3322657681721,3322657795646,3322657797338,3322657797352
1,3,3322657676607,3322657683502,3322657908899,3322657910446,3322657910457
2,4,3322657676835,3322657685737,3322658021339,3322658022859,3322658022870
3,5,3322657677014,3322657689279,3322658133684,3322658135222,3322658135231
4,24,3322657680107,3322657691058,3322658244454,3322658245976,3322658245986
5,36,3322657682902,3322657692850,3322658373879,3322658375710,3322658375719
6,42,3322657685579,3322657696403,3322658506129,3322658507988,3322658507997
7,48,3322657688249,3322657698189,3322658638573,3322658640434,3322658640442
8,53,3322657690460,3322657700876,3322658771205,3322658773084,3322658773094
9,59,3322657693145,3322657703973,3322658900459,3322658902285,3322658902294
10,0,3322657695361,3322657705770,3322659013035,3322659014570,3322659014579
11,9,3322657697592,3322657707992,3322659125030,3322659126581,3322659126590
12,16,3322657700717,3322657711120,3322659236334,3322659237980,3322659237989
13,21,3322657702937,3322657712923,3322659347834,3322659349311,3322659349320
14,27,3322657705166,3322657715157,3322659476816,3322659478496,3322659478505
15,33,3322657707834,3322657718721,3322659606158,3322659607836,3322659607845
16,39,3322657710081,3322657720512,3322659735811,3322659737515,3322659737525
17,46,3322657712763,3322657722727,3322659867706,3322659869738,3322659869746
18,52,3322657714998,3322657725864,3322660000063,3322660002064,3322660002073
19,58,3322657717239,3322657727652,3322660129255,3322660131117,3322660131127
20,6,3322657719900,3322657729895,3322660242206,3322660243751,3322660243762
21,13,3322657722569,3322657733005,3322660353242,3322660354926,3322660354934
22,20,3322657725265,3322657735241,3322660464578,3322660466102,3322660466111
23,28,3322657727492,3322657738321,3322660593774,3322660595609,3322660595618
24,34,3322657729736,3322657740094,3322660723466,3322660725165,3322660725173
25,43,3322657732405,3322657742342,3322660855374,3322660857325,3322660857335
26,50,3322657734635,3322657745012,3322660987289,3322660989144,3322660989153
27,57,3322657736824,3322657747687,3322661116477,3322661118349,3322661118360
28,7,3322657739494,3322657749925,3322661229134,3322661230676,3322661230687
29,14,3322657741745,3322657753448,3322661340224,3322661341891,3322661341900
30,23,3322657744418,3322657755675,3322661451539,3322661453211,3322661453220
31,32,3322657747084,3322657757031,3322661580830,3322661582616,3322661582625
32,41,3322657749318,3322657761044,3322661713633,3322661715498,3322661715508
33,51,3322657751507,3322657762829,3322661845651,3322661847508,3322661847518
34,62,3322657754178,3322657764170,3322661974568,3322661976420,3322661976429
35,11,3322657756424,3322657769067,3322662086184,3322662087706,3322662087716
36,22,3322657759096,3322657770401,3322662197846,3322662199372,3322662199381
37,35,3322657761773,3322657771308,3322662327280,3322662328961,3322662328970
38,45,3322657764010,3322657776638,3322662459325,3322662461177,3322662461188
39,60,3322657766660,3322657777967,3322662588918,3322662590915,3322662590925
40,10,3322657768909,3322657778414,3322662701988,3322662703500,3322662703510
41,19,3322657771150,3322657783755,3322662813280,3322662814807,3322662814816
42,37,3322657773808,3322657785978,3322662942462,3322662944290,3322662944298
43,54,3322657776480,3322657785978,3322663074058,3322663075902,3322663075911
44,63,3322657778253,3322657791305,3322663203267,3322663204950,3322663204960
45,25,3322657781363,3322657793099,3322663314861,3322663316342,3322663316351
46,38,3322657783597,3322657793100,3322663444326,3322663446170,3322663446179
47,55,3322657785820,3322657798692,3322663576007,3322663577892,3322663577902
48,17,3322657788910,3322657800489,3322663688093,3322663689773,3322663689782
49,31,3322657791145,3322657800489,3322663817502,3322663819296,3322663819305
50,49,3322657792937,3322657805839,3322663949498,3322663951352,3322663951362
51,18,3322657795883,3322657807630,3322664061465,3322664062991,3322664063000
52,8,3322657798533,3322657807630,3322664173624,3322664175122,3322664175130
53,30,3322657800780,3322657812972,3322664302936,3322664304742,3322664304752
54,61,3322657803459,3322657815194,3322664432232,3322664434092,3322664434102
55,29,3322657805681,3322657814756,3322664561923,3322664563619,3322664563627
56,2,3322657807917,3322657820574,3322664674808,3322664676347,3322664676356
57,44,3322657810578,3322657822346,3322664806325,3322664808176,3322664808185
58,15,3322657812810,3322657823228,3322664918077,3322664919584,3322664919594
59,1,3322657815036,3322657828105,3322665029934,3322665031461,3322665031470
60,26,3322657818162,3322657829875,3322665159006,3322665160826,3322665160836
61,12,3322657819947,3322657831602,3322665270751,3322665272261,3322665272270
62,56,3322657822628,3322657833342,3322665399615,3322665401462,3322665401471
63,47,3322657825298,3322657833772,3322665531567,3322665533424,3322665533433
64,40,3322665533668,3322665536724,3322665664720,3322665666404,3322665666414
65,3,3322665533830,3322665536144,3322665666423,3322665666750,3322665666756
