item,buf_idx,ts_read_submit_us,ts_nvme_done_us,ts_h2d_submit_us,ts_h2d_done_us,ts_slot_release_us
0,2,3322334661917,3322334665749,3322334779317,3322334780559,3322334780571
1,3,3322334662147,3322334668805,3322334891878,3322334893029,3322334893038
2,4,3322334662373,3322334671481,3322335003437,3322335004582,3322335004590
3,5,3322334662548,3322334674146,3322335114989,3322335116091,3322335116100
4,22,3322334665261,3322334675922,3322335225492,3322335226631,3322335226639
5,30,3322334668211,3322334678597,3322335354766,3322335356213,3322335356221
6,36,3322334670880,3322334681259,3322335484190,3322335485648,3322335485655
7,42,3322334673551,3322334683493,3322335615982,3322335617594,3322335617600
8,47,3322334675764,3322334686594,3322335748212,3322335749672,3322335749680
9,53,3322334678439,3322334688366,3322335879506,3322335880963,3322335880970
10,59,3322334681101,3322334691479,3322336008366,3322336009787,3322336009796
11,1,3322334683775,3322334693707,3322336120004,3322336121300,3322336121308
12,10,3322334685992,3322334695915,3322336231677,3322336232823,3322336232832
13,15,3322334688207,3322334698579,3322336341467,3322336342608,3322336342617
14,23,3322334691322,3322334700826,3322336451710,3322336452820,3322336452828
15,28,3322334693547,3322334702604,3322336580633,3322336582087,3322336582093
16,34,3322334695755,3322334706161,3322336709767,3322336711069,3322336711076
17,41,3322334698431,3322334707931,3322336840821,3322336842433,3322336842441
18,48,3322334700668,3322334710143,3322336972603,3322336974219,3322336974227
19,54,3322334702895,3322334713241,3322337103809,3322337105261,3322337105269
20,61,3322334705545,3322334715468,3322337232958,3322337234535,3322337234543
21,7,3322334707773,3322334717237,3322337346496,3322337347640,3322337347649
22,13,3322334710032,3322334720354,3322337456759,3322337457905,3322337457953
23,21,3322334713083,3322334722583,3322337567223,3322337568359,3322337568367
24,27,3322334714870,3322334724360,3322337696688,3322337698146,3322337698153
25,37,3322334717540,3322334727466,3322337826429,3322337827871,3322337827880
26,44,3322334719748,3322334729709,3322337958109,3322337959425,3322337959435
27,52,3322334722424,3322334731918,3322338089397,3322338091017,3322338091026
28,60,3322334724648,3322334735023,3322338218269,3322338219732,3322338219740
29,9,3322334727308,3322334736787,3322338330581,3322338331882,3322338331891
30,17,3322334729546,3322334739017,3322338441326,3322338442624,3322338442631
31,26,3322334732203,3322334743879,3322338570999,3322338572448,3322338572455
32,38,3322334734864,3322334745660,3322338700734,3322338702049,3322338702057
33,46,3322334737075,3322334747444,3322338832184,3322338833785,3322338833792
34,56,3322334739295,3322334751005,3322338961230,3322338962593,3322338962602
35,6,3322334741953,3322334752795,3322339072888,3322339074037,3322339074045
36,18,3322334744607,3322334756347,3322339183591,3322339184777,3322339184786
37,31,3322334747286,3322334758133,3322339312309,3322339313767,3322339313774
38,39,3322334749056,3322334759908,3322339441537,3322339442811,3322339442819
39,51,3322334751733,3322334763435,3322339573261,3322339574708,3322339574717
40,0,3322334754418,3322334765211,3322339685398,3322339686549,3322339686558
41,16,3322334756643,3322334767008,3322339795941,3322339797077,3322339797085
42,32,3322334759301,3322334770583,3322339924709,3322339926159,3322339926166
43,45,3322334761539,3322334772801,3322340056142,3322340057572,3322340057580
44,58,3322334763733,3322334774544,3322340185239,3322340186706,3322340186714
45,14,3322334766403,3322334776764,3322340296207,3322340297349,3322340297357
46,33,3322334769077,3322334779725,3322340425148,3322340426592,3322340426599
47,50,3322334771318,3322334781450,3322340571498,3322340572954,3322340572962
48,11,3322334773990,3322334783676,3322340682355,3322340683508,3322340683517
49,25,3322334776158,3322334785898,3322340792538,3322340793668,3322340793713
50,49,3322334778398,3322334789457,3322340924287,3322340925735,3322340925742
51,29,3322334781305,3322334791702,3322341053340,3322341054649,3322341054657
52,57,3322334783518,3322334793437,3322341182344,3322341183800,3322341183807
53,19,3322334785741,3322334796978,3322341293279,3322341294401,3322341294409
54,43,3322334788392,3322334798761,3322341424713,3322341426173,3322341426181
55,12,3322334790641,3322334800544,3322341535551,3322341536664,3322341536672
56,40,3322334792880,3322334804990,3322341664544,3322341665844,3322341665852
57,2,3322334795495,3322334806764,3322341776258,3322341777380,3322341777389
58,8,3322334798165,3322334808545,3322341887991,3322341889132,3322341889140
59,62,3322334800387,3322334812091,3322342016708,3322342018151,3322342018159
60,63,3322334803061,3322334814273,3322342145476,3322342146898,3322342146905
61,20,3322334805278,3322334816001,3322342256179,3322342257479,3322342257487
62,24,3322334808387,3322334818170,3322342366596,3322342367896,3322342367903
63,35,3322334810600,3322334819469,3322342495452,3322342496795,3322342496802
64,55,3322342497034,3322342500087,3322342630019,3322342631466,3322342631474
65,3,3322342497194,3322342499461,3322342631483,3322342631654,3322342631659
