item,buf_idx,ts_read_submit_us,ts_nvme_done_us,ts_h2d_submit_us,ts_h2d_done_us,ts_slot_release_us
0,2,3322281141398,3322281142954,3322281171235,3322281171631,3322281171642
1,3,3322281141577,3322281143854,3322281199327,3322281199686,3322281199694
2,4,3322281141753,3322281144751,3322281227127,3322281227480,3322281227486
3,5,3322281141927,3322281145648,3322281254869,3322281255220,3322281255227
4,6,3322281142103,3322281145648,3322281282608,3322281282960,3322281282968
5,7,3322281142277,3322281147005,3322281310497,3322281310848,3322281310855
6,8,3322281142450,3322281147440,3322281338306,3322281338655,3322281338663
7,9,3322281142623,3322281147905,3322281366044,3322281366400,3322281366408
8,10,3322281142797,3322281149665,3322281393901,3322281394249,3322281394256
9,11,3322281143251,3322281149230,3322281421717,3322281422071,3322281422079
10,12,3322281143695,3322281149665,3322281449478,3322281449837,3322281449845
11,13,3322281144144,3322281150547,3322281477356,3322281477712,3322281477720
12,14,3322281144592,3322281150986,3322281505190,3322281505539,3322281505545
13,15,3322281145038,3322281151427,3322281532963,3322281533295,3322281533303
14,16,3322281145483,3322281152741,3322281560812,3322281561160,3322281561167
15,17,3322281145935,3322281153630,3322281588629,3322281588978,3322281588986
16,18,3322281146380,3322281153186,3322281616508,3322281616853,3322281616861
17,19,3322281146848,3322281154982,3322281644315,3322281644663,3322281644671
18,20,3322281147315,3322281154982,3322281672311,3322281672661,3322281672669
19,21,3322281147747,3322281155421,3322281700105,3322281700453,3322281700460
20,22,3322281148193,3322281156747,3322281727920,3322281728269,3322281728276
21,23,3322281148634,3322281156746,3322281755789,3322281756126,3322281756133
22,24,3322281149072,3322281157188,3322281783741,3322281784089,3322281784149
23,25,3322281149513,3322281158511,3322281811729,3322281812080,3322281812088
24,26,3322281149948,3322281158511,3322281839512,3322281839860,3322281839867
25,27,3322281150389,3322281158954,3322281867289,3322281867627,3322281867635
26,28,3322281150829,3322281160270,3322281895024,3322281895372,3322281895379
27,29,3322281151270,3322281160719,3322281922778,3322281923122,3322281923129
28,30,3322281151712,3322281160720,3322281950490,3322281950836,3322281950844
29,31,3322281152147,3322281162041,3322281978370,3322281978720,3322281978728
30,32,3322281152583,3322281162042,3322282006239,3322282006588,3322282006596
31,33,3322281153028,3322281163804,3322282033748,3322282034099,3322282034108
32,35,3322281153952,3322281164262,3322282061174,3322282061521,3322282061528
33,37,3322281154824,3322281164262,3322282088646,3322282088996,3322282089003
34,38,3322281155263,3322281164698,3322282116349,3322282116752,3322282116760
35,40,3322281156142,3322281165579,3322282143914,3322282144263,3322282144270
36,41,3322281156588,3322281166034,3322282171474,3322282171766,3322282171774
37,42,3322281157029,3322281166476,3322282199024,3322282199374,3322282199381
38,43,3322281157464,3322281167816,3322282226470,3322282226818,3322282226825
39,45,3322281158352,3322281167816,3322282254111,3322282254455,3322282254463
40,46,3322281158797,3322281168251,3322282281642,3322282281990,3322282281997
41,48,3322281159664,3322281169573,3322282309259,3322282309605,3322282309612
42,49,3322281160112,3322281169574,3322282336858,3322282337202,3322282337209
43,50,3322281160561,3322281171455,3322282364366,3322282364712,3322282364719
44,52,3322281161434,3322281170910,3322282391908,3322282392257,3322282392264
45,53,3322281161879,3322281171456,3322282419497,3322282419846,3322282419853
46,54,3322281162331,3322281171629,3322282447232,3322282447580,3322282447588
47,57,3322281163645,3322281172976,3322282474778,3322282475130,3322282475137
48,58,3322281164106,3322281172976,3322282502246,3322282502593,3322282502600
49,59,3322281164541,3322281174297,3322282529877,3322282530227,3322282530259
50,60,3322281164975,3322281175180,3322282557569,3322282557903,3322282557912
51,62,3322281165876,3322281175179,3322282585134,3322282585448,3322282585455
52,63,3322281166317,3322281176053,3322282612536,3322282612882,3322282612890
53,1,3322281167201,3322281176914,3322282640443,3322282640791,3322282640799
54,34,3322281167658,3322281176915,3322282668268,3322282668617,3322282668624
55,36,3322281168094,3322281179083,3322282695761,3322282696111,3322282696118
56,39,3322281168534,3322281178656,3322282723382,3322282723728,3322282723735
57,47,3322281169417,3322281178230,3322282750993,3322282751341,3322282751348
58,51,3322281169867,3322281179533,3322282778445,3322282778780,3322282778787
59,56,3322281170750,3322281180405,3322282806134,3322282806483,3322282806491
60,61,3322281171288,3322281180405,3322282833406,3322282833753,3322282833760
61,0,3322281171471,3322281180838,3322282861348,3322282861699,3322282861706
62,55,3322281172367,3322281181267,3322282888798,3322282889146,3322282889153
63,2,3322281172818,3322281181267,3322282916722,3322282917139,3322282917146
64,44,3322282917330,3322282918605,3322282945929,3322282946245,3322282946253
65,3,3322282917486,3322282917978,3322282946261,3322282946433,3322282946438
