item,buf_idx,ts_read_submit_us,ts_nvme_done_us,ts_h2d_submit_us,ts_h2d_done_us,ts_slot_release_us
0,2,3322297945965,3322297951290,3322298061679,3322298062848,3322298062859
1,3,3322297946198,3322297952621,3322298173060,3322298174215,3322298174224
2,4,3322297946425,3322297955287,3322298284684,3322298285812,3322298285821
3,5,3322297946599,3322297958832,3322298396072,3322298397217,3322298397225
4,7,3322297949518,3322297960572,3322298507743,3322298508891,3322298508899
5,0,3322297952465,3322297963166,3322298619268,3322298620370,3322298620377
6,6,3322297955129,3322297965762,3322298730645,3322298731791,3322298731799
7,1,3322297957808,3322297966616,3322298842364,3322298843466,3322298843474
8,2,3322298843708,3322298846624,3322298956705,3322298957829,3322298957841
9,3,3322298843868,3322298846624,3322298957851,3322298958026,3322298958031
