item,buf_idx,ts_read_submit_us,ts_nvme_done_us,ts_h2d_submit_us,ts_h2d_done_us,ts_slot_release_us
0,1,3322262815667,3322262818525,3322262845830,3322262846205,3322262846214
1,2,3322262815843,3322262818368,3322262873275,3322262873629,3322262873635
2,3,3322262816019,3322262818524,3322262901083,3322262901431,3322262901438
3,0,3322262816193,3322262818957,3322262928751,3322262929097,3322262929105
4,1,3322262929283,3322262930890,3322262957759,3322262958101,3322262958107
5,2,3322262929446,3322262931743,3322262985088,3322262985384,3322262985391
6,3,3322262929620,3322262932170,3322263012238,3322263012579,3322263012586
7,0,3322262929795,3322262932590,3322263039421,3322263039760,3322263039767
8,1,3322263039930,3322263040087,3322263040095,3322263040267,3322263040271
