item,buf_idx,queue_depth,ts_slot_wait_us,ts_slot_acquire_us,ts_dma_submit_us,ts_dma_done_us,ts_nvme_submit_us,ts_nvme_done_us,ts_slot_release_us,slot_wait_us,dma_us,nvme_us,total_e2e_us
0,0,1,3322366551376,3322366551377,3322366551377,3322366561918,3322366589103,3322366590048,3322366590049,1,10541,945,38671
1,0,1,3322366590049,3322366590049,3322366590049,3322366600453,3322366627573,3322366628517,3322366628517,0,10404,944,38468
2,0,1,3322366628517,3322366628517,3322366628517,3322366638922,3322366666181,3322366667127,3322366667127,0,10405,946,38610
3,0,1,3322366667127,3322366667128,3322366667128,3322366677592,3322366704486,3322366705430,3322366705430,1,10464,944,38302
4,0,1,3322366705587,3322366705587,3322366705587,3322366715979,3322366742803,3322366743743,3322366743744,0,10392,940,38156
5,0,1,3322366743744,3322366743744,3322366743744,3322366754143,3322366781082,3322366782024,3322366782024,0,10399,942,38280
6,0,1,3322366782025,3322366782025,3322366782025,3322366792438,3322366819403,3322366820297,3322366820297,0,10413,894,38272
7,0,1,3322366820297,3322366820297,3322366820297,3322366830714,3322366857545,3322366858490,3322366858490,0,10417,945,38193
8,0,1,3322366858646,3322366858647,3322366858647,3322366858803,3322366858807,3322366858964,3322366858964,1,156,157,317
