item,buf_idx,ts_read_submit_us,ts_nvme_done_us,ts_h2d_submit_us,ts_h2d_done_us,ts_slot_release_us
0,2,3322616078894,3322616082598,3322616193064,3322616194659,3322616194673
1,3,3322616079117,3322616086149,3322616305165,3322616306677,3322616306686
2,4,3322616079339,3322616087918,3322616417196,3322616418721,3322616418730
3,5,3322616079514,3322616091012,3322616529594,3322616531121,3322616531130
4,0,3322616082885,3322616093640,3322616641940,3322616643472,3322616643481
5,7,3322616085543,3322616095362,3322616754629,3322616756163,3322616756173
6,1,3322616087758,3322616098840,3322616867107,3322616868627,3322616868636
7,6,3322616090853,3322616099270,3322616979437,3322616980974,3322616980985
8,2,3322616981220,3322616984277,3322617095086,3322617096629,3322617096640
9,3,3322616981381,3322616983380,3322617096649,3322617097011,3322617097017
