item,buf_idx,ts_read_submit_us,ts_nvme_done_us,ts_h2d_submit_us,ts_h2d_done_us,ts_slot_release_us
0,2,3322624273187,3322624278040,3322624389640,3322624391242,3322624391256
1,3,3322624273420,3322624279818,3322624501384,3322624502909,3322624502920
2,4,3322624273646,3322624282494,3322624613402,3322624614928,3322624614938
3,5,3322624273823,3322624285605,3322624726017,3322624727548,3322624727557
4,11,3322624276755,3322624287396,3322624837296,3322624838780,3322624838790
5,10,3322624279658,3322624290045,3322624949463,3322624950991,3322624951000
6,1,3322624282335,3322624293149,3322625061492,3322625063014,3322625063023
7,13,3322624285009,3322624294483,3322625172516,3322625174032,3322625174041
8,7,3322624287237,3322624297597,3322625284701,3322625286213,3322625286223
9,0,3322624289885,3322624301605,3322625396795,3322625398312,3322625398321
10,14,3322624292104,3322624301605,3322625507626,3322625509158,3322625509167
11,12,3322624294326,3322624304754,3322625618180,3322625619695,3322625619705
12,8,3322624297438,3322624309134,3322625730618,3322625732135,3322625732144
13,15,3322624299655,3322624308703,3322625841885,3322625843405,3322625843413
14,6,3322624301900,3322624311719,3322625954063,3322625955590,3322625955599
15,9,3322624304594,3322624313901,3322626065860,3322626067380,3322626067390
16,2,3322626067626,3322626070822,3322626181732,3322626183258,3322626183266
17,3,3322626067786,3322626069925,3322626183276,3322626183633,3322626183638
