item,buf_idx,queue_depth,ts_slot_wait_us,ts_slot_acquire_us,ts_dma_submit_us,ts_dma_done_us,ts_nvme_submit_us,ts_nvme_done_us,ts_slot_release_us,slot_wait_us,dma_us,nvme_us,total_e2e_us
0,0,1,3320417497304,3320417497304,3320417497304,3320417499415,3320418076777,3320418080337,3320418080337,0,2111,3560,583033
1,1,1,3320417569888,3320417569888,3320417569888,3320417572032,3320418076844,3320418083736,3320418083736,0,2144,6892,513848
2,2,1,3320417642009,3320417642009,3320417642009,3320417644097,3320418076912,3320418087294,3320418087294,0,2088,10382,445285
3,3,1,3320417714436,3320417714437,3320417714437,3320417716544,3320418077108,3320418091001,3320418091001,1,2107,13893,376564
4,4,1,3320417786500,3320417786500,3320417786500,3320417788600,3320418080345,3320418094651,3320418094652,0,2100,14306,308151
5,5,1,3320417858903,3320417858904,3320417858904,3320417861052,3320418083907,3320418098278,3320418098279,1,2148,14371,239374
6,6,1,3320417931522,3320417931522,3320417931522,3320417933640,3320418087301,3320418102025,3320418102025,0,2118,14724,170503
7,7,1,3320418003977,3320418003978,3320418003978,3320418006102,3320418091008,3320418105814,3320418105814,1,2124,14806,101836
8,0,1,3320418080345,3320418080346,3320418080346,3320418080347,3320418091008,3320418105814,3320418105814,1,1,14806,25468
