Device_id,event,ddr(KB),hbm(KB),memory(KB),timestamp(us)
2,APP,0.0,18846992.0,18846992.0,1788522390918472.799	
2,APP,0.0,18851212.0,18851212.0,1788522391018450.799	
2,APP,0.0,18851216.0,18851216.0,1788522391118447.799	
2,APP,0.0,18851216.0,18851216.0,1788522391218447.799	
2,APP,0.0,18851216.0,18851216.0,1788522391318447.799	
2,APP,0.0,18851216.0,18851216.0,1788522391418448.799	
2,APP,0.0,18851216.0,18851216.0,1788522391518447.799	
2,APP,0.0,18851216.0,18851216.0,1788522391618448.799	
2,APP,0.0,18851216.0,18851216.0,1788522391718446.799	
2,APP,0.0,18851216.0,18851216.0,1788522391818446.799	
2,APP,0.0,18851216.0,18851216.0,1788522391918447.799	
2,APP,0.0,18851216.0,18851216.0,1788522392018447.799	
2,APP,0.0,18851216.0,18851216.0,1788522392118446.799	
2,APP,0.0,18851216.0,18851216.0,1788522392218447.799	
2,APP,0.0,18851216.0,18851216.0,1788522392318446.799	
2,APP,0.0,18851216.0,18851216.0,1788522392418445.799	
2,APP,0.0,18851216.0,18851216.0,1788522392518446.799	
2,APP,0.0,18851216.0,18851216.0,1788522392618446.799	
2,APP,0.0,18851216.0,18851216.0,1788522392718446.799	
2,APP,0.0,18851216.0,18851216.0,1788522392818447.799	
2,APP,0.0,18851216.0,18851216.0,1788522392918445.799	
2,APP,0.0,18851216.0,18851216.0,1788522393018446.799	
2,APP,0.0,18851216.0,18851216.0,1788522393118446.799	
2,APP,0.0,18851216.0,18851216.0,1788522393218445.799	
2,APP,0.0,18851216.0,18851216.0,1788522393318446.799	
2,APP,0.0,18851216.0,18851216.0,1788522393418446.799	
2,APP,0.0,18851216.0,18851216.0,1788522393518445.799	
2,APP,0.0,18851216.0,18851216.0,1788522393618446.799	
2,APP,0.0,18851216.0,18851216.0,1788522393718446.799	
2,APP,0.0,18851216.0,18851216.0,1788522393818446.799	
2,APP,0.0,18851216.0,18851216.0,1788522393918445.799	
2,APP,0.0,18851216.0,18851216.0,1788522394018445.799	
2,APP,0.0,18851216.0,18851216.0,1788522394118445.799	
2,APP,0.0,18851216.0,18851216.0,1788522394218445.799	
2,APP,0.0,18851216.0,18851216.0,1788522394318446.799	
2,APP,0.0,18851216.0,18851216.0,1788522394418445.799	
2,APP,0.0,18851216.0,18851216.0,1788522394518445.799	
2,APP,0.0,18851216.0,18851216.0,1788522394618446.799	
2,APP,0.0,18851216.0,18851216.0,1788522394718447.799	
2,APP,0.0,18851216.0,18851216.0,1788522394818446.799	
2,APP,0.0,18851216.0,18851216.0,1788522394918446.799	
2,APP,0.0,18851216.0,18851216.0,1788522395018479.799	
2,APP,0.0,18851216.0,18851216.0,1788522395118445.799	
2,APP,0.0,18851216.0,18851216.0,1788522395218448.799	
2,APP,0.0,18851216.0,18851216.0,1788522395318548.799	
2,APP,0.0,18851216.0,18851216.0,1788522395418445.799	
2,APP,0.0,18851216.0,18851216.0,1788522395518446.799	
2,APP,0.0,18851216.0,18851216.0,1788522395618446.799	
2,APP,0.0,18851216.0,18851216.0,1788522395718446.799	
2,APP,0.0,18851216.0,18851216.0,1788522395818446.799	
2,APP,0.0,18851216.0,18851216.0,1788522395918458.799	
2,APP,0.0,18851216.0,18851216.0,1788522396018446.799	
2,APP,0.0,18851216.0,18851216.0,1788522396118446.799	
2,APP,0.0,18851216.0,18851216.0,1788522396218446.799	
2,APP,0.0,18851216.0,18851216.0,1788522396318446.799	
2,APP,0.0,18851216.0,18851216.0,1788522396418445.799	
2,APP,0.0,18851216.0,18851216.0,1788522396518447.799	
2,APP,0.0,18851216.0,18851216.0,1788522396618446.799	
2,APP,0.0,18851216.0,18851216.0,1788522396718447.799	
2,APP,0.0,18851216.0,18851216.0,1788522396818447.799	
2,APP,0.0,18851216.0,18851216.0,1788522396918447.799	
2,APP,0.0,18851216.0,18851216.0,1788522397018446.799	
2,APP,0.0,18851216.0,18851216.0,1788522397118447.799	
2,APP,0.0,18851216.0,18851216.0,1788522397218447.799	
2,APP,0.0,18851216.0,18851216.0,1788522397318447.799	
2,APP,0.0,18851216.0,18851216.0,1788522397418446.799	
2,APP,0.0,18851216.0,18851216.0,1788522397518447.799	
2,APP,0.0,18851216.0,18851216.0,1788522397618446.799	
2,APP,0.0,18851216.0,18851216.0,1788522397718449.799	
2,APP,0.0,18851216.0,18851216.0,1788522397818446.799	
2,APP,0.0,18851216.0,18851216.0,1788522397918445.799	
2,APP,0.0,18851216.0,18851216.0,1788522398018445.799	
2,APP,0.0,18851216.0,18851216.0,1788522398118446.799	
2,APP,0.0,18851216.0,18851216.0,1788522398218445.799	
2,APP,0.0,18851216.0,18851216.0,1788522398318446.799	
2,APP,0.0,18851216.0,18851216.0,1788522398418449.799	
2,APP,0.0,18851216.0,18851216.0,1788522398518447.799	
2,APP,0.0,18851216.0,18851216.0,1788522398618449.799	
2,APP,0.0,18851216.0,18851216.0,1788522398718482.799	
2,APP,0.0,18851216.0,18851216.0,1788522398818447.799	
2,APP,0.0,18851216.0,18851216.0,1788522398918447.799	
2,APP,0.0,18851216.0,18851216.0,1788522399018558.799	
2,APP,0.0,18851216.0,18851216.0,1788522399118446.799	
2,APP,0.0,18851216.0,18851216.0,1788522399218449.799	
2,APP,0.0,18851216.0,18851216.0,1788522399318448.799	
2,APP,0.0,18851216.0,18851216.0,1788522399418446.799	
2,APP,0.0,18851216.0,18851216.0,1788522399518446.799	
2,APP,0.0,18851216.0,18851216.0,1788522399618446.799	
2,APP,0.0,18851216.0,18851216.0,1788522399718447.799	
2,APP,0.0,18851216.0,18851216.0,1788522399818446.799	
2,APP,0.0,18851216.0,18851216.0,1788522399918447.799	
2,APP,0.0,18851216.0,18851216.0,1788522400018445.799	
2,APP,0.0,18851216.0,18851216.0,1788522400118446.799	
2,APP,0.0,18851216.0,18851216.0,1788522400218446.799	
2,APP,0.0,18851216.0,18851216.0,1788522400318446.799	
2,APP,0.0,18851216.0,18851216.0,1788522400418445.799	
2,APP,0.0,18851216.0,18851216.0,1788522400518447.799	
2,APP,0.0,18851216.0,18851216.0,1788522400618446.799	
2,APP,0.0,18851216.0,18851216.0,1788522400718447.799	
2,APP,0.0,18851216.0,18851216.0,1788522400818447.799	
2,APP,0.0,18851216.0,18851216.0,1788522400918450.799	
2,APP,0.0,18851216.0,18851216.0,1788522401018447.799	
2,APP,0.0,18851216.0,18851216.0,1788522401118455.799	
2,APP,0.0,18851216.0,18851216.0,1788522401218446.799	
2,APP,0.0,18851216.0,18851216.0,1788522401318447.799	
2,APP,0.0,18851216.0,18851216.0,1788522401418446.799	
2,APP,0.0,18851216.0,18851216.0,1788522401518447.799	
2,APP,0.0,18851216.0,18851216.0,1788522401618447.799	
2,APP,0.0,18851216.0,18851216.0,1788522401718448.799	
2,APP,0.0,18851216.0,18851216.0,1788522401818447.799	
2,APP,0.0,18851216.0,18851216.0,1788522401918447.799	
2,APP,0.0,18851216.0,18851216.0,1788522402018447.799	
2,APP,0.0,18851216.0,18851216.0,1788522402118446.799	
2,APP,0.0,18851216.0,18851216.0,1788522402218446.799	
2,APP,0.0,18851216.0,18851216.0,1788522402318446.799	
2,APP,0.0,18851216.0,18851216.0,1788522402418445.799	
2,APP,0.0,18851216.0,18851216.0,1788522402518446.799	
2,APP,0.0,18851216.0,18851216.0,1788522402618448.799	
2,APP,0.0,18851216.0,18851216.0,1788522402718470.799	
2,APP,0.0,18851216.0,18851216.0,1788522402818447.799	
2,APP,0.0,18851216.0,18851216.0,1788522402918447.799	
2,APP,0.0,18851216.0,18851216.0,1788522403018525.799	
2,APP,0.0,18851216.0,18851216.0,1788522403118446.799	
2,APP,0.0,18851216.0,18851216.0,1788522403218448.799	
2,APP,0.0,18851216.0,18851216.0,1788522403318553.799	
2,APP,0.0,18851216.0,18851216.0,1788522403418445.799	
2,APP,0.0,18851216.0,18851216.0,1788522403518446.799	
2,APP,0.0,18851216.0,18851216.0,1788522403618446.799	
2,APP,0.0,18851216.0,18851216.0,1788522403718447.799	
2,APP,0.0,18851216.0,18851216.0,1788522403818447.799	
2,APP,0.0,18851216.0,18851216.0,1788522403918446.799	
2,APP,0.0,18851216.0,18851216.0,1788522404018447.799	
2,APP,0.0,18851216.0,18851216.0,1788522404118446.799	
2,APP,0.0,18851216.0,18851216.0,1788522404218447.799	
2,APP,0.0,18851216.0,18851216.0,1788522404318445.799	
2,APP,0.0,18851216.0,18851216.0,1788522404418445.799	
2,APP,0.0,18851216.0,18851216.0,1788522404518445.799	
2,APP,0.0,18851216.0,18851216.0,1788522404618446.799	
2,APP,0.0,18851216.0,18851216.0,1788522404718446.799	
2,APP,0.0,18851216.0,18851216.0,1788522404818446.799	
2,APP,0.0,18851216.0,18851216.0,1788522404918445.799	
2,APP,0.0,18851216.0,18851216.0,1788522405018445.799	
2,APP,0.0,18851216.0,18851216.0,1788522405118445.799	
2,APP,0.0,18851216.0,18851216.0,1788522405218445.799	
2,APP,0.0,18851216.0,18851216.0,1788522405318446.799	
2,APP,0.0,18851216.0,18851216.0,1788522405418445.799	
2,APP,0.0,18851216.0,18851216.0,1788522405518445.799	
2,APP,0.0,18851216.0,18851216.0,1788522405618446.799	
2,APP,0.0,18851216.0,18851216.0,1788522405718446.799	
2,APP,0.0,18851216.0,18851216.0,1788522405818484.799	
2,APP,0.0,18851216.0,18851216.0,1788522405918450.799	
2,APP,0.0,18851216.0,18851216.0,1788522406018448.799	
2,APP,0.0,18851216.0,18851216.0,1788522406118524.799	
2,APP,0.0,18851216.0,18851216.0,1788522406218446.799	
2,APP,0.0,18851216.0,18851216.0,1788522406318445.799	
2,APP,0.0,18851216.0,18851216.0,1788522406418552.799	
2,APP,0.0,18851216.0,18851216.0,1788522406518447.799	
2,APP,0.0,18851216.0,18851216.0,1788522406618446.799	
2,APP,0.0,18851216.0,18851216.0,1788522406718447.799	
2,APP,0.0,18851216.0,18851216.0,1788522406818448.799	
2,APP,0.0,18851216.0,18851216.0,1788522406918445.799	
2,APP,0.0,18851216.0,18851216.0,1788522407018445.799	
2,APP,0.0,18851216.0,18851216.0,1788522407118447.799	
2,APP,0.0,18851216.0,18851216.0,1788522407218445.799	
2,APP,0.0,18851216.0,18851216.0,1788522407318445.799	
2,APP,0.0,18851216.0,18851216.0,1788522407418447.799	
2,APP,0.0,18851216.0,18851216.0,1788522407518445.799	
2,APP,0.0,18851216.0,18851216.0,1788522407618447.799	
2,APP,0.0,18851216.0,18851216.0,1788522407718448.799	
2,APP,0.0,18851216.0,18851216.0,1788522407818447.799	
2,APP,0.0,18851216.0,18851216.0,1788522407918445.799	
2,APP,0.0,18851216.0,18851216.0,1788522408018447.799	
2,APP,0.0,18851216.0,18851216.0,1788522408118445.799	
2,APP,0.0,18851216.0,18851216.0,1788522408218446.799	
2,APP,0.0,18851216.0,18851216.0,1788522408318447.799	
2,APP,0.0,18851216.0,18851216.0,1788522408418449.799	
2,APP,0.0,18851216.0,18851216.0,1788522408518450.799	
2,APP,0.0,18851216.0,18851216.0,1788522408618450.799	
2,APP,0.0,18851216.0,18851216.0,1788522408718449.799	
2,APP,0.0,18851216.0,18851216.0,1788522408818447.799	
2,APP,0.0,18851216.0,18851216.0,1788522408918449.799	
2,APP,0.0,18851216.0,18851216.0,1788522409018447.799	
2,APP,0.0,18851216.0,18851216.0,1788522409118446.799	
2,APP,0.0,18851216.0,18851216.0,1788522409218449.799	
