Device_id,Component,Timestamp(us),Total Reserved(KB),Device
2,SLOG,1788522391078023.490	,0,NPU:2
2,SLOG,1788522391177937.070	,0,NPU:2
2,SLOG,1788522391277935.640	,0,NPU:2
2,SLOG,1788522391377927.650	,0,NPU:2
2,SLOG,1788522391477926.110	,0,NPU:2
2,SLOG,1788522391577931.290	,0,NPU:2
2,SLOG,1788522391677920.690	,0,NPU:2
2,SLOG,1788522391777924.450	,0,NPU:2
2,SLOG,1788522391877922.070	,0,NPU:2
2,SLOG,1788522391977925.940	,0,NPU:2
2,SLOG,1788522392077937.630	,0,NPU:2
2,SLOG,1788522392177916.260	,0,NPU:2
2,SLOG,1788522392277917.700	,0,NPU:2
2,SLOG,1788522392377914.280	,0,NPU:2
2,SLOG,1788522392477913.470	,0,NPU:2
2,SLOG,1788522392577913.330	,0,NPU:2
2,SLOG,1788522392677914.200	,0,NPU:2
2,SLOG,1788522392777911.600	,0,NPU:2
2,SLOG,1788522392877912.410	,0,NPU:2
2,SLOG,1788522392978016.170	,0,NPU:2
2,SLOG,1788522393077977.060	,0,NPU:2
2,SLOG,1788522393177974.590	,0,NPU:2
2,SLOG,1788522393277964.030	,0,NPU:2
2,SLOG,1788522393377945.550	,0,NPU:2
2,SLOG,1788522393477976.680	,0,NPU:2
2,SLOG,1788522393577984.080	,0,NPU:2
2,SLOG,1788522393677968.900	,0,NPU:2
2,SLOG,1788522393777954.940	,0,NPU:2
2,SLOG,1788522393877942.990	,0,NPU:2
2,SLOG,1788522393977961.280	,0,NPU:2
2,SLOG,1788522394078013.090	,0,NPU:2
2,SLOG,1788522394177974.520	,0,NPU:2
2,SLOG,1788522394277964.210	,0,NPU:2
2,SLOG,1788522394377950.280	,0,NPU:2
2,SLOG,1788522394477952.390	,0,NPU:2
2,SLOG,1788522394578016.640	,0,NPU:2
2,SLOG,1788522394677977.300	,0,NPU:2
2,SLOG,1788522394777969.400	,0,NPU:2
2,SLOG,1788522394877962.180	,0,NPU:2
2,SLOG,1788522394977965.600	,0,NPU:2
2,SLOG,1788522395078008.720	,0,NPU:2
2,SLOG,1788522395177977.430	,0,NPU:2
2,SLOG,1788522395277957.970	,0,NPU:2
