item,buf_idx,queue_depth,ts_slot_wait_us,ts_slot_acquire_us,ts_dma_submit_us,ts_dma_done_us,ts_nvme_submit_us,ts_nvme_done_us,ts_slot_release_us,slot_wait_us,dma_us,nvme_us,total_e2e_us
0,0,1,3322349526067,3322349526068,3322349526068,3322349528709,3322349535374,3322349535714,3322349535715,1,2641,340,9646
1,1,1,3322349526068,3322349526068,3322349526068,3322349537911,3322349544537,3322349544873,3322349544873,0,11843,336,18805
2,2,1,3322349526068,3322349526068,3322349526068,3322349546986,3322349553678,3322349554029,3322349554030,0,20918,351,27961
3,3,1,3322349526068,3322349526068,3322349526068,3322349556177,3322349562798,3322349563117,3322349563117,0,30109,319,37049
4,0,1,3322349563274,3322349563274,3322349563274,3322349565895,3322349572469,3322349572767,3322349572767,0,2621,298,9493
5,1,1,3322349563275,3322349563275,3322349563275,3322349574882,3322349581509,3322349581846,3322349581846,0,11607,337,18571
6,2,1,3322349563275,3322349563275,3322349563275,3322349583977,3322349590647,3322349590984,3322349590985,0,20702,337,27709
7,3,1,3322349563275,3322349563275,3322349563275,3322349593138,3322349599768,3322349600049,3322349600049,0,29863,281,36774
8,0,1,3322349600205,3322349600206,3322349600206,3322349600362,3322349600366,3322349600521,3322349600521,1,156,155,315
