item,buf_idx,ts_read_submit_us,ts_nvme_done_us,ts_h2d_submit_us,ts_h2d_done_us,ts_slot_release_us
0,2,3322355758128,3322355758758,0,0,3322355767894
1,3,3322355758287,3322355759189,0,0,3322355777033
2,4,3322355758446,3322355759618,0,0,3322355786231
3,5,3322355758604,3322355760045,0,0,3322355795257
4,6,3322355759034,3322355760045,0,0,3322355804293
5,7,3322355759463,3322355760475,0,0,3322355813310
6,8,3322355759891,3322355760475,0,0,3322355822348
7,9,3322355760321,3322355760905,0,0,3322355831403
8,10,3322355760751,3322355761333,0,0,3322355840376
9,11,3322355761178,3322355761772,0,0,3322355849414
10,12,3322355761616,3322355762202,0,0,3322355858452
11,13,3322355762047,3322355763058,0,0,3322355867447
12,14,3322355762476,3322355763059,0,0,3322355876481
13,15,3322355762904,3322355763485,0,0,3322355885458
14,0,3322355763330,3322355764333,0,0,3322355894514
15,1,3322355763755,3322355764333,0,0,3322355903631
16,2,3322355903797,3322355904262,0,0,3322355913393
17,3,3322355903953,3322355904108,0,0,3322355913552
