Device_id,kernel_name,kernel_type,stream_id,task_id,task_time(us),task_start(us),task_stop(us)
2,trans_Cast_2,KERNEL_AIVEC,2,1013,1.28,1788521821351084.490	,1788521821351085.770	
2,DropOutGenMask11/Sub,KERNEL_AIVEC,2,1014,1.48,1788521821351112.290	,1788521821351113.770	
2,trans_Cast_3,KERNEL_AIVEC,2,1015,1.2,1788521821351128.210	,1788521821351129.410	
2,N/A,MEMCPY_ASYNC,2,1016,2.28,1788521821351152.870	,1788521821351155.150	
2,DropOutGenMask11/DSAGENBITMASK,STARS_COMMON,2,1017,7.38,1788521821351155.310	,1788521821351162.690	
2,N/A,MEMCPY_ASYNC,2,1018,0.84,1788521821351170.890	,1788521821351171.730	
2,DropOutDoMask12,KERNEL_AIVEC,2,1019,9.84,1788521821351256.290	,1788521821351266.130	
2,aclnnAdd_AddAiCore_Add,KERNEL_AIVEC,2,1020,8.76,1788521821351287.890	,1788521821351296.650	
2,aclnnCast_CastAiCore_Cast,KERNEL_AIVEC,2,1021,7.34,1788521821351315.950	,1788521821351323.290	
2,LayerNorm6,KERNEL_AIVEC,2,1022,22.74,1788521821351398.310	,1788521821351421.050	
2,aclnnCast_CastAiCore_Cast,KERNEL_AIVEC,2,1023,6.2,1788521821351429.890	,1788521821351436.090	
2,aclnnCast_CastAiCore_Cast,KERNEL_AIVEC,2,1024,16.14,1788521821351456.890	,1788521821351473.030	
2,aclnnMm_MatMulCommon_MatMulV2,KERNEL_AICORE,2,1025,27.18,1788521821351473.130	,1788521821351500.310	
2,aclnnCast_CastAiCore_Cast,KERNEL_AIVEC,2,1026,1.7,1788521821351500.330	,1788521821351502.030	
2,aclnnAdd_AddAiCore_Add,KERNEL_AIVEC,2,1027,10.98,1788521821351514.370	,1788521821351525.350	
2,aclnnGelu_Gelu_Gelu,KERNEL_AIVEC,2,1028,20.56,1788521821351541.150	,1788521821351561.710	
2,aclnnCast_CastAiCore_Cast,KERNEL_AIVEC,2,1029,16.38,1788521821351564.990	,1788521821351581.370	
2,aclnnMm_MatMulCommon_MatMulV2,KERNEL_AICORE,2,1030,54.66,1788521821351581.470	,1788521821351636.130	
2,aclnnCast_CastAiCore_Cast,KERNEL_AIVEC,2,1031,1.24,1788521821351636.150	,1788521821351637.390	
2,aclnnAdd_AddAiCore_Add,KERNEL_AIVEC,2,1032,5.52,1788521821351637.410	,1788521821351642.930	
