Device_id,Model ID,Task ID,Stream ID,Op Name,OP Type,OP State,Task Type,Task Start Time(us),Task Duration(us),Task Wait Time(us),Block Dim,Mix Block Dim,HF32 Eligible,Input Shapes,Input Data Types,Input Formats,Output Shapes,Output Data Types,Output Formats,Context ID,aicore_time(us),aic_total_cycles,aic_l1_read_bw(GB/s),aic_l1_write_bw(GB/s),aic_main_mem_read_bw(GB/s),aic_main_mem_write_bw(GB/s),aiv_time(us),aiv_total_cycles,aiv_ub_read_bw(GB/s),aiv_ub_write_bw(GB/s),aiv_main_mem_read_bw(GB/s),aiv_main_mem_write_bw(GB/s)
2,4294967295,23422,2,aclnnSub_SubAiCore_Sub,Sub,dynamic,AI_VECTOR_CORE,1788521819426286.450	,310.56,0.88,40,0,NO,"""1024,50257;1024,1""",FLOAT;FLOAT,FORMAT_ND;FORMAT_ND,"""1024,50257""",FLOAT,FORMAT_ND,N/A,0.0,0,0.0,0.0,0.0,0.0,300.447,21632210,43.363,33.908,0.269,0.266
2,4294967295,23423,2,CheckNumerics47,CheckNumerics,dynamic,AI_CPU,1788521819426597.030	,115.3,0.02,0,0,NO,"""""",FLOAT,FORMAT_ND,"""""",FLOAT,FORMAT_ND,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2,4294967295,23424,2,RealDiv48,RealDiv,dynamic,AI_VECTOR_CORE,1788521819426712.350	,1.4,0.02,1,0,NO,"""1;1""",FLOAT;FLOAT,FORMAT_ND;FORMAT_ND,"""1""",FLOAT,FORMAT_ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.903,1625,0.264,0.396,0.058,0.008
2,4294967295,23425,2,aclnnReduceSum_ReduceSumOpAiCore_ReduceSum,ReduceSum,dynamic,MIX_AIV,1788521819426714.650	,1.58,0.9,1,0,NO,"""1;1""",FLOAT;INT64,FORMAT_ND;FORMAT_ND,"""""",FLOAT,FORMAT_ND,0,0.0,0,0.0,0.0,0.0,0.0,1.217,2190,0.196,0.294,0.092,0.006
2,4294967295,23426,2,aclnnRepeat_TileAiCore_Tile,Tile,dynamic,AI_VECTOR_CORE,1788521819426717.190	,1.64,0.96,1,0,NO,"""1;1""",FLOAT;INT64,FORMAT_ND;FORMAT_ND,"""1024""",FLOAT,FORMAT_ND,N/A,0.0,0,0.0,0.0,0.0,0.0,1.116,2008,3.42,1.817,0.087,0.053
2,4294967295,23427,2,aclnnMul_MulAiCore_Mul,Mul,dynamic,AI_VECTOR_CORE,1788521819426718.870	,1.68,0.04,1,0,NO,"""1024;1024""",FLOAT;FLOAT,FORMAT_ND;FORMAT_ND,"""1024""",FLOAT,FORMAT_ND,N/A,0.0,0,0.0,0.0,0.0,0.0,1.161,2090,4.928,8.213,0.167,0.051
2,4294967295,23428,2,aclnnExp_ExpAiCore_Exp,Exp,dynamic,AI_VECTOR_CORE,1788521819426720.570	,318.98,0.02,40,0,NO,"""1024,50257""",FLOAT,FORMAT_ND,"""1024,50257""",FLOAT,FORMAT_ND,N/A,0.0,0,0.0,0.0,0.0,0.0,314.772,22663561,30.36,30.391,0.238,0.238
2,4294967295,23431,2,ReduceSum49,ReduceSum,dynamic,MIX_AIV,1788521819427045.490	,219.7,5.94,40,0,NO,"""1024,50257;1""",FLOAT;INT64,FORMAT_ND;FORMAT_ND,"""1024,1""",FLOAT,FORMAT_ND,0,0.0,0,0.0,0.0,0.0,0.0,191.235,13768928,22.798,41.524,0.418,0.001
2,4294967295,23432,2,aclnnLog_LogAiCore_Log,Log,dynamic,AI_VECTOR_CORE,1788521819427265.670	,1.38,0.48,1,0,NO,"""1024,1""",FLOAT,FORMAT_ND,"""1024,1""",FLOAT,FORMAT_ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.815,1467,9.361,9.361,0.155,0.073
2,4294967295,23433,2,aclnnSub_SubAiCore_Sub,Sub,dynamic,AI_VECTOR_CORE,1788521819427267.070	,322.42,0.02,40,0,NO,"""1024,50257;1024,1""",FLOAT;FLOAT,FORMAT_ND;FORMAT_ND,"""1024,50257""",FLOAT,FORMAT_ND,N/A,0.0,0,0.0,0.0,0.0,0.0,312.77,22519430,42.008,32.587,0.258,0.256
2,4294967295,23434,2,StridedSlice1,StridedSlice,dynamic,AI_VECTOR_CORE,1788521819427589.510	,12.38,0.02,40,0,NO,"""1,1025;2;2;2""",INT32;INT64;INT64;INT64,FORMAT_ND;FORMAT_ND;FORMAT_ND;FORMAT_ND,"""1,1024""",INT32,FORMAT_ND,N/A,0.0,0,0.0,0.0,0.0,0.0,8.415,605882,0.011,0.054,0.029,0.006
