Device_id,event,ddr(KB),hbm(KB),memory(KB),timestamp(us)
2,APP,0.0,4060432.0,4060432.0,1788521817301964.070	
2,APP,0.0,4064648.0,4064648.0,1788521817401932.070	
2,APP,0.0,4064652.0,4064652.0,1788521817501929.070	
2,APP,0.0,4064652.0,4064652.0,1788521817601930.070	
2,APP,0.0,4064652.0,4064652.0,1788521817701931.070	
2,APP,0.0,4064652.0,4064652.0,1788521817801930.070	
2,APP,0.0,4064652.0,4064652.0,1788521817901930.070	
2,APP,0.0,4064652.0,4064652.0,1788521818001930.070	
2,APP,0.0,4064652.0,4064652.0,1788521818101930.070	
2,APP,0.0,4064652.0,4064652.0,1788521818201929.070	
2,APP,0.0,4064652.0,4064652.0,1788521818301930.070	
2,APP,0.0,4064652.0,4064652.0,1788521818401933.070	
2,APP,0.0,4064652.0,4064652.0,1788521818501929.070	
2,APP,0.0,4064652.0,4064652.0,1788521818601930.070	
2,APP,0.0,4064652.0,4064652.0,1788521818701930.070	
2,APP,0.0,4064652.0,4064652.0,1788521818801929.070	
2,APP,0.0,4064652.0,4064652.0,1788521818901930.070	
2,APP,0.0,4064652.0,4064652.0,1788521819001929.070	
2,APP,0.0,4064652.0,4064652.0,1788521819101929.070	
2,APP,0.0,4064652.0,4064652.0,1788521819201930.070	
2,APP,0.0,4064652.0,4064652.0,1788521819301929.070	
2,APP,0.0,4064652.0,4064652.0,1788521819401928.070	
2,APP,0.0,4064652.0,4064652.0,1788521819501929.070	
2,APP,0.0,4064652.0,4064652.0,1788521819601929.070	
2,APP,0.0,4064652.0,4064652.0,1788521819701931.070	
2,APP,0.0,4064652.0,4064652.0,1788521819801930.070	
2,APP,0.0,4064652.0,4064652.0,1788521819901951.070	
2,APP,0.0,4064652.0,4064652.0,1788521820001931.070	
2,APP,0.0,4064652.0,4064652.0,1788521820101931.070	
2,APP,0.0,4064652.0,4064652.0,1788521820201930.070	
2,APP,0.0,4064652.0,4064652.0,1788521820301929.070	
2,APP,0.0,4064652.0,4064652.0,1788521820401931.070	
2,APP,0.0,4064652.0,4064652.0,1788521820501933.070	
2,APP,0.0,4064652.0,4064652.0,1788521820601930.070	
2,APP,0.0,4064652.0,4064652.0,1788521820701930.070	
2,APP,0.0,4064652.0,4064652.0,1788521820801930.070	
2,APP,0.0,4064652.0,4064652.0,1788521820901930.070	
2,APP,0.0,4064652.0,4064652.0,1788521821001929.070	
2,APP,0.0,4064652.0,4064652.0,1788521821101929.070	
2,APP,0.0,4064652.0,4064652.0,1788521821201930.070	
2,APP,0.0,4064652.0,4064652.0,1788521821301929.070	
2,APP,0.0,4064652.0,4064652.0,1788521821401928.070	
2,APP,0.0,4064652.0,4064652.0,1788521821501929.070	
2,APP,0.0,4064652.0,4064652.0,1788521821601929.070	
2,APP,0.0,4064652.0,4064652.0,1788521821701967.070	
2,APP,0.0,4064652.0,4064652.0,1788521821801930.070	
2,APP,0.0,4064652.0,4064652.0,1788521821901929.070	
2,APP,0.0,4064652.0,4064652.0,1788521822001953.070	
2,APP,0.0,4064652.0,4064652.0,1788521822101930.070	
2,APP,0.0,4064652.0,4064652.0,1788521822106002.070	
2,Device,0.0,4334420.0,4334420.0,1788521817302166.070	
2,Device,0.0,4341524.0,4341524.0,1788521817402154.070	
2,Device,0.0,4341524.0,4341524.0,1788521817502130.070	
2,Device,0.0,4341524.0,4341524.0,1788521817602117.070	
2,Device,0.0,4341524.0,4341524.0,1788521817702118.070	
2,Device,0.0,4341524.0,4341524.0,1788521817802119.070	
2,Device,0.0,4341524.0,4341524.0,1788521817902115.070	
2,Device,0.0,4341524.0,4341524.0,1788521818002117.070	
2,Device,0.0,4341524.0,4341524.0,1788521818102119.070	
2,Device,0.0,4341524.0,4341524.0,1788521818202114.070	
2,Device,0.0,4341524.0,4341524.0,1788521818302116.070	
2,Device,0.0,4342280.0,4342280.0,1788521818402170.070	
2,Device,0.0,4342280.0,4342280.0,1788521818502127.070	
2,Device,0.0,4342280.0,4342280.0,1788521818602120.070	
2,Device,0.0,4342280.0,4342280.0,1788521818702121.070	
2,Device,0.0,4342280.0,4342280.0,1788521818802116.070	
2,Device,0.0,4342280.0,4342280.0,1788521818902116.070	
2,Device,0.0,4342280.0,4342280.0,1788521819002118.070	
2,Device,0.0,4342280.0,4342280.0,1788521819102116.070	
2,Device,0.0,4342280.0,4342280.0,1788521819202115.070	
2,Device,0.0,4342280.0,4342280.0,1788521819302120.070	
2,Device,0.0,4342280.0,4342280.0,1788521819402118.070	
2,Device,0.0,4342280.0,4342280.0,1788521819502117.070	
2,Device,0.0,4342280.0,4342280.0,1788521819602121.070	
2,Device,0.0,4342280.0,4342280.0,1788521819702116.070	
2,Device,0.0,4342280.0,4342280.0,1788521819802117.070	
2,Device,0.0,4342280.0,4342280.0,1788521819902266.070	
2,Device,0.0,4342280.0,4342280.0,1788521820002128.070	
2,Device,0.0,4342280.0,4342280.0,1788521820102122.070	
2,Device,0.0,4342280.0,4342280.0,1788521820202123.070	
2,Device,0.0,4342280.0,4342280.0,1788521820302119.070	
2,Device,0.0,4342280.0,4342280.0,1788521820402120.070	
2,Device,0.0,4342052.0,4342052.0,1788521820502170.070	
2,Device,0.0,4342052.0,4342052.0,1788521820602136.070	
2,Device,0.0,4342052.0,4342052.0,1788521820702154.070	
2,Device,0.0,4342052.0,4342052.0,1788521820802129.070	
2,Device,0.0,4342052.0,4342052.0,1788521820902122.070	
2,Device,0.0,4342052.0,4342052.0,1788521821002168.070	
2,Device,0.0,4342052.0,4342052.0,1788521821102120.070	
2,Device,0.0,4342052.0,4342052.0,1788521821202140.070	
2,Device,0.0,4342052.0,4342052.0,1788521821302203.070	
2,Device,0.0,4342052.0,4342052.0,1788521821402120.070	
2,Device,0.0,4342028.0,4342028.0,1788521821502126.070	
2,Device,0.0,4342028.0,4342028.0,1788521821602232.070	
2,Device,0.0,4342028.0,4342028.0,1788521821702117.070	
2,Device,0.0,4342028.0,4342028.0,1788521821802120.070	
2,Device,0.0,4342028.0,4342028.0,1788521821902230.070	
2,Device,0.0,4342028.0,4342028.0,1788521822002120.070	
2,Device,0.0,4341004.0,4341004.0,1788521822102124.070	
2,Device,0.0,4338956.0,4338956.0,1788521822117278.070	
