item,buf_idx,ts_read_submit_us,ts_nvme_done_us,ts_h2d_submit_us,ts_h2d_done_us,ts_slot_release_us
0,2,3322545664343,3322545665155,3322545672174,3322545672587,3322545672603
1,3,3322545664509,3322545665589,3322545679324,3322545679707,3322545679715
2,4,3322545664674,3322545666023,3322545686463,3322545686819,3322545686827
3,5,3322545664836,3322545666023,3322545693453,3322545693833,3322545693840
4,6,3322545664997,3322545666024,3322545700530,3322545700912,3322545700920
5,7,3322545665431,3322545666454,3322545707558,3322545707934,3322545707941
6,0,3322545665865,3322545666455,3322545714633,3322545715009,3322545715017
7,1,3322545666297,3322545666883,3322545721740,3322545722118,3322545722125
8,2,3322545722290,3322545722920,3322545729613,3322545729987,3322545729994
9,3,3322545722448,3322545722605,3322545730002,3322545730359,3322545730365
