item,buf_idx,ts_read_submit_us,ts_nvme_done_us,ts_h2d_submit_us,ts_h2d_done_us,ts_slot_release_us
0,2,3322760026642,3322760031230,0,0,3322760182827
1,3,3322760026863,3322760033897,0,0,3322760333236
2,4,3322760027080,3322760035653,0,0,3322760484023
3,5,3322760027249,3322760038749,0,0,3322760634660
4,12,3322760030281,3322760040963,0,0,3322760784246
5,10,3322760033305,3322760042739,0,0,3322760934831
6,0,3322760035496,3322760046269,0,0,3322761085577
7,11,3322760038153,3322760048488,0,0,3322761234997
8,7,3322760040812,3322760050263,0,0,3322761385394
9,15,3322760043041,3322760053811,0,0,3322761535309
10,14,3322760045672,3322760055572,0,0,3322761685152
11,13,3322760047893,3322760057337,0,0,3322761834581
12,6,3322760050544,3322760060810,0,0,3322761984818
13,1,3322760053209,3322760062900,0,0,3322762135432
14,8,3322760055418,3322760066342,0,0,3322762286020
15,9,3322760057620,3322760066768,0,0,3322762436495
16,2,3322762436724,3322762439607,0,0,3322762589851
17,3,3322762436881,3322762438861,0,0,3322762590014
