item,buf_idx,ts_read_submit_us,ts_nvme_done_us,ts_h2d_submit_us,ts_h2d_done_us,ts_slot_release_us
0,1,3320805474037,3320805474673,0,0,3320805479197
1,2,3320805474201,3320805479364,0,0,3320805483873
2,3,3320805474360,3320805479365,0,0,3320805488361
3,4,3320805474519,3320805479364,0,0,3320805492818
4,5,3320805479203,3320805492986,0,0,3320805497439
5,6,3320805492825,3320805497605,0,0,3320805502039
6,7,3320805497445,3320805502204,0,0,3320805506630
7,0,3320805502045,3320805506789,0,0,3320805511302
8,1,3320805506632,3320805506789,0,0,3320805511307
