item,buf_idx,ts_read_submit_us,ts_nvme_done_us,ts_h2d_submit_us,ts_h2d_done_us,ts_slot_release_us
0,2,3322245583459,3322245584108,3322245590835,3322245591036,3322245591045
1,3,3322245583624,3322245584538,3322245597744,3322245597928,3322245597935
2,4,3322245583786,3322245584969,3322245604570,3322245604748,3322245604754
3,5,3322245583951,3322245584970,3322245611447,3322245611624,3322245611630
4,6,3322245584381,3322245584970,3322245618269,3322245618448,3322245618454
5,7,3322245584812,3322245585839,3322245625120,3322245625296,3322245625301
6,0,3322245585244,3322245585840,3322245631926,3322245632060,3322245632065
7,1,3322245585680,3322245586266,3322245638654,3322245638832,3322245638838
8,2,3322245639004,3322245639745,3322245646404,3322245646582,3322245646587
9,3,3322245639161,3322245639318,3322245646594,3322245646765,3322245646770
