item,buf_idx,ts_read_submit_us,ts_nvme_done_us,ts_h2d_submit_us,ts_h2d_done_us,ts_slot_release_us
0,0,3320784366611,3320784370595,3320784441304,3320784442481,3320784442490
1,0,3320784442557,3320784445413,3320784514658,3320784515793,3320784515799
2,0,3320784515861,3320784518780,3320784588131,3320784589260,3320784589266
3,0,3320784589329,3320784592929,3320784662344,3320784663468,3320784663474
4,0,3320784663558,3320784666533,3320784736026,3320784737152,3320784737158
5,0,3320784737216,3320784740267,3320784809793,3320784810918,3320784810925
6,0,3320784810983,3320784814621,3320784883653,3320784884779,3320784884785
7,0,3320784884845,3320784887716,3320784956807,3320784957929,3320784957934
8,0,3320784957936,3320784958093,3320784958104,3320784958259,3320784958263
