item,buf_idx,queue_depth,ts_slot_wait_us,ts_slot_acquire_us,ts_dma_submit_us,ts_dma_done_us,ts_nvme_submit_us,ts_nvme_done_us,ts_slot_release_us,slot_wait_us,dma_us,nvme_us,total_e2e_us
0,0,1,3322286591444,3322286591445,3322286591445,3322286592883,3322286703778,3322286707180,3322286707180,1,1438,3402,115735
1,0,1,3322286707181,3322286707181,3322286707181,3322286708452,3322286816589,3322286820047,3322286820047,0,1271,3458,112866
2,0,1,3322286820047,3322286820048,3322286820048,3322286821247,3322286929251,3322286932707,3322286932707,1,1199,3456,112659
3,0,1,3322286932707,3322286932707,3322286932707,3322286933868,3322287041765,3322287045286,3322287045286,0,1161,3521,112579
4,0,1,3322287045403,3322287045403,3322287045403,3322287046560,3322287154586,3322287158047,3322287158048,0,1157,3461,112644
5,0,1,3322287158048,3322287158048,3322287158048,3322287159205,3322287267200,3322287270570,3322287270570,0,1157,3370,112522
6,0,1,3322287270571,3322287270571,3322287270571,3322287271714,3322287379659,3322287383020,3322287383020,0,1143,3361,112449
7,0,1,3322287383020,3322287383020,3322287383020,3322287384168,3322287492336,3322287495822,3322287495822,0,1148,3486,112802
8,0,1,3322287495940,3322287495940,3322287495940,3322287496131,3322287496142,3322287496300,3322287496300,0,191,158,360
