# started on Thu Sep 10 01:05:58 2026

257.77,msec,task-clock,257767550,100.00,0.477,CPUs utilized
317,,context-switches,257767550,100.00,0.001,M/sec
1,,cpu-migrations,257767550,100.00,0.004,K/sec
3261,,page-faults,257767550,100.00,0.013,M/sec
669362498,,cycles,258075270,100.00,2.597,GHz
877188115,,instructions,258075270,100.00,1.31,insn per cycle
<not supported>,,branches,0,100.00,,
1011660,,branch-misses,258075270,100.00,,
