item,buf_idx,ts_read_submit_us,ts_nvme_done_us,ts_h2d_submit_us,ts_h2d_done_us,ts_slot_release_us
0,2,3322574979431,3322574980962,3322575008494,3322575009111,3322575009123
1,3,3322574979609,3322574982217,3322575036690,3322575037245,3322575037253
2,4,3322574979784,3322574983081,3322575064853,3322575065399,3322575065406
3,5,3322574979958,3322574984815,3322575092833,3322575093380,3322575093388
4,6,3322574980130,3322574984815,3322575120958,3322575121507,3322575121515
5,7,3322574980299,3322574984814,3322575148869,3322575149425,3322575149433
6,0,3322574980472,3322574984816,3322575176809,3322575177357,3322575177365
7,1,3322574980648,3322574985246,3322575204881,3322575205431,3322575205439
8,2,3322575205620,3322575206705,3322575234009,3322575234553,3322575234562
9,3,3322575205762,3322575206234,3322575234570,3322575234930,3322575234935
