item,buf_idx,queue_depth,ts_slot_wait_us,ts_slot_acquire_us,ts_dma_submit_us,ts_dma_done_us,ts_nvme_submit_us,ts_nvme_done_us,ts_slot_release_us,slot_wait_us,dma_us,nvme_us,total_e2e_us
0,0,1,3320391391038,3320391391038,3320391391038,3320391391187,3320391426984,3320391427338,3320391427339,0,149,354,36300
1,1,1,3320391395561,3320391395562,3320391395562,3320391395700,3320391426989,3320391427495,3320391427495,1,138,506,31933
2,2,1,3320391400021,3320391400021,3320391400021,3320391400177,3320391426993,3320391427652,3320391427652,0,156,659,27631
3,3,1,3320391404443,3320391404443,3320391404443,3320391404578,3320391426997,3320391427966,3320391427967,0,135,969,23523
4,4,1,3320391408890,3320391408890,3320391408890,3320391409037,3320391427002,3320391428123,3320391428123,0,147,1121,19233
5,5,1,3320391413328,3320391413328,3320391413328,3320391413467,3320391427007,3320391428435,3320391428435,0,139,1428,15107
6,6,1,3320391417820,3320391417820,3320391417820,3320391417975,3320391427011,3320391428591,3320391428591,0,155,1580,10771
7,7,1,3320391422286,3320391422286,3320391422286,3320391422438,3320391427016,3320391428864,3320391428864,0,152,1848,6578
8,8,1,3320391426785,3320391426785,3320391426785,3320391426786,3320391427017,3320391428864,3320391428864,0,1,1847,2079
