item,buf_idx,queue_depth,ts_slot_wait_us,ts_slot_acquire_us,ts_dma_submit_us,ts_dma_done_us,ts_nvme_submit_us,ts_nvme_done_us,ts_slot_release_us,slot_wait_us,dma_us,nvme_us,total_e2e_us
0,0,1,3320791546713,3320791546714,3320791546714,3320791548179,3320792115685,3320792119113,3320792119114,1,1465,3428,572399
1,1,1,3320791547049,3320791547050,3320791547050,3320791618768,3320792115752,3320792122494,3320792122494,1,71718,6742,575444
2,2,1,3320791547065,3320791547065,3320791547065,3320791690100,3320792115812,3320792126061,3320792126061,0,143035,10249,578996
3,3,1,3320791547186,3320791547186,3320791547186,3320791761260,3320792116036,3320792129763,3320792129763,0,214074,13727,582577
4,4,1,3320791547195,3320791547195,3320791547195,3320791832036,3320792119424,3320792133380,3320792133380,0,284841,13956,586185
5,5,1,3320791547204,3320791547204,3320791547204,3320791902825,3320792122665,3320792137056,3320792137056,0,355621,14391,589852
6,6,1,3320791547213,3320791547213,3320791547213,3320791973954,3320792126068,3320792140883,3320792140883,0,426741,14815,593670
7,7,1,3320791547222,3320791547222,3320791547222,3320792044897,3320792129770,3320792144629,3320792144629,0,497675,14859,597407
8,0,1,3320792119120,3320792119121,3320792119121,3320792119348,3320792129929,3320792144630,3320792144630,1,227,14701,25509
