item,buf_idx,ts_read_submit_us,ts_nvme_done_us,ts_h2d_submit_us,ts_h2d_done_us,ts_slot_release_us
0,2,3322683902067,3322683902860,0,0,3322683912072
1,3,3322683902229,3322683903297,0,0,3322683921203
2,4,3322683902389,3322683903728,0,0,3322683930309
3,5,3322683902547,3322683903297,0,0,3322683939352
4,6,3322683902706,3322683903728,0,0,3322683948467
5,7,3322683903141,3322683904158,0,0,3322683957459
6,8,3322683903573,3322683904158,0,0,3322683966505
7,9,3322683904002,3322683904602,0,0,3322683975535
8,10,3322683904446,3322683905033,0,0,3322683984525
9,11,3322683904878,3322683905471,0,0,3322683993552
10,12,3322683905315,3322683905899,0,0,3322684002581
11,13,3322683905745,3322683906332,0,0,3322684011637
12,14,3322683906177,3322683907193,0,0,3322684020689
13,15,3322683906611,3322683907629,0,0,3322684029687
14,0,3322683907039,3322683908510,0,0,3322684038713
15,1,3322683907474,3322683908082,0,0,3322684047744
16,2,3322684047906,3322684048389,0,0,3322684057439
17,3,3322684048076,3322684048234,0,0,3322684057597
