item,buf_idx,ts_read_submit_us,ts_nvme_done_us,ts_h2d_submit_us,ts_h2d_done_us,ts_slot_release_us
0,1,3320765474750,3320765475553,3320765479926,3320765480130,3320765480138
1,2,3320765474914,3320765480124,3320765484482,3320765484664,3320765484669
2,3,3320765475075,3320765480125,3320765489040,3320765489223,3320765489228
3,4,3320765475236,3320765480125,3320765493545,3320765493724,3320765493729
4,5,3320765475397,3320765480125,3320765498076,3320765498213,3320765498218
5,6,3320765479960,3320765484662,3320765502569,3320765502743,3320765502748
6,7,3320765484501,3320765489221,3320765507085,3320765507262,3320765507267
7,0,3320765489058,3320765493722,3320765511606,3320765511779,3320765511784
8,1,3320765493559,3320765493722,3320765511793,3320765511961,3320765511966
