item,buf_idx,queue_depth,ts_slot_wait_us,ts_slot_acquire_us,ts_dma_submit_us,ts_dma_done_us,ts_nvme_submit_us,ts_nvme_done_us,ts_slot_release_us,slot_wait_us,dma_us,nvme_us,total_e2e_us
0,0,1,3320421589492,3320421589492,3320421589492,3320421591618,3320422169451,3320422173012,3320422173012,0,2126,3561,583520
1,1,1,3320421662030,3320421662031,3320421662031,3320421664157,3320422169511,3320422176397,3320422176397,1,2126,6886,514366
2,2,1,3320421734951,3320421734952,3320421734952,3320421737099,3320422169583,3320422179934,3320422179934,1,2147,10351,444982
3,3,1,3320421807546,3320421807548,3320421807548,3320421809672,3320422169773,3320422183644,3320422183644,2,2124,13871,376096
4,4,1,3320421879807,3320421879808,3320421879808,3320421881942,3320422173182,3320422187304,3320422187304,1,2134,14122,307496
5,5,1,3320421952190,3320421952191,3320421952191,3320421954314,3320422176566,3320422191088,3320422191088,1,2123,14522,238897
6,6,1,3320422024675,3320422024676,3320422024676,3320422026792,3320422180103,3320422194677,3320422194678,1,2116,14574,170001
7,7,1,3320422097190,3320422097190,3320422097190,3320422099293,3320422183813,3320422198461,3320422198462,0,2103,14648,101271
8,8,1,3320422169151,3320422169152,3320422169152,3320422169154,3320422183813,3320422198462,3320422198462,1,2,14649,29310
