item,buf_idx,ts_read_submit_us,ts_nvme_done_us,ts_h2d_submit_us,ts_h2d_done_us,ts_slot_release_us
0,2,3322411342684,3322411346568,0,0,3322411496902
1,3,3322411342908,3322411349205,0,0,3322411647162
2,4,3322411343131,3322411353130,0,0,3322411798085
3,5,3322411343307,3322411354888,0,0,3322411948589
4,7,3322411346097,3322411356633,0,0,3322412099299
5,1,3322411349048,3322411360080,0,0,3322412249999
6,6,3322411352123,3322411362224,0,0,3322412400209
7,0,3322411354296,3322411363082,0,0,3322412550540
8,2,3322412550771,3322412553810,0,0,3322412704583
9,3,3322412550929,3322412553063,0,0,3322412704745
