item,buf_idx,queue_depth,ts_slot_wait_us,ts_slot_acquire_us,ts_dma_submit_us,ts_dma_done_us,ts_nvme_submit_us,ts_nvme_done_us,ts_slot_release_us,slot_wait_us,dma_us,nvme_us,total_e2e_us
0,0,1,3322259524318,3322259524318,3322259524318,3322259524937,3322259552444,3322259553385,3322259553385,0,619,941,29067
1,0,1,3322259553386,3322259553386,3322259553386,3322259553843,3322259580688,3322259581630,3322259581630,0,457,942,28244
2,0,1,3322259581630,3322259581630,3322259581630,3322259581957,3322259609040,3322259609985,3322259609985,0,327,945,28355
3,0,1,3322259609985,3322259609985,3322259609985,3322259610304,3322259637233,3322259638158,3322259638158,0,319,925,28173
4,0,1,3322259638314,3322259638314,3322259638314,3322259638627,3322259665905,3322259666848,3322259666848,0,313,943,28534
5,0,1,3322259666849,3322259666849,3322259666849,3322259667163,3322259694082,3322259695004,3322259695004,0,314,922,28155
6,0,1,3322259695004,3322259695004,3322259695004,3322259695317,3322259722359,3322259723297,3322259723297,0,313,938,28293
7,0,1,3322259723297,3322259723297,3322259723297,3322259723607,3322259750468,3322259751368,3322259751369,0,310,900,28071
8,0,1,3322259751525,3322259751525,3322259751525,3322259751713,3322259751723,3322259751882,3322259751882,0,188,159,357
