item,buf_idx,ts_read_submit_us,ts_nvme_done_us,ts_h2d_submit_us,ts_h2d_done_us,ts_slot_release_us
0,0,3322259816282,3322259817641,3322259845035,3322259845406,3322259845416
1,0,3322259845436,3322259846645,3322259873622,3322259873970,3322259873977
2,0,3322259873995,3322259875376,3322259902226,3322259902566,3322259902573
3,0,3322259902590,3322259903843,3322259930674,3322259931012,3322259931018
4,0,3322259931192,3322259932439,3322259959301,3322259959644,3322259959650
5,0,3322259959667,3322259960881,3322259987733,3322259988075,3322259988083
6,0,3322259988101,3322259989315,3322260016175,3322260016515,3322260016521
7,0,3322260016539,3322260017912,3322260044755,3322260045097,3322260045103
8,0,3322260045263,3322260045420,3322260045428,3322260045599,3322260045604
