item,buf_idx,queue_depth,ts_slot_wait_us,ts_slot_acquire_us,ts_dma_submit_us,ts_dma_done_us,ts_nvme_submit_us,ts_nvme_done_us,ts_slot_release_us,slot_wait_us,dma_us,nvme_us,total_e2e_us
0,0,1,3322697733812,3322697733813,3322697733813,3322697744338,3322697771542,3322697772494,3322697772494,1,10525,952,38681
1,0,1,3322697772494,3322697772494,3322697772494,3322697782961,3322697809981,3322697810908,3322697810908,0,10467,927,38414
2,0,1,3322697810908,3322697810909,3322697810909,3322697821292,3322697848154,3322697849099,3322697849099,1,10383,945,38190
3,0,1,3322697849099,3322697849100,3322697849100,3322697859483,3322697886599,3322697887542,3322697887543,1,10383,943,38442
4,0,1,3322697887700,3322697887700,3322697887700,3322697898207,3322697925364,3322697926304,3322697926304,0,10507,940,38604
5,0,1,3322697926304,3322697926304,3322697926304,3322697936841,3322697963675,3322697964598,3322697964598,0,10537,923,38294
6,0,1,3322697964599,3322697964599,3322697964599,3322697975142,3322698001988,3322698002938,3322698002938,0,10543,950,38339
7,0,1,3322698002938,3322698002938,3322698002938,3322698013435,3322698040453,3322698041375,3322698041375,0,10497,922,38437
8,0,1,3322698041532,3322698041532,3322698041532,3322698041690,3322698041694,3322698041851,3322698041851,0,158,157,319
