item,buf_idx,ts_read_submit_us,ts_nvme_done_us,ts_h2d_submit_us,ts_h2d_done_us,ts_slot_release_us
0,2,3322374978859,3322374980207,0,0,3322375017702
1,3,3322374979033,3322374981502,0,0,3322375054982
2,4,3322374979204,3322374982354,0,0,3322375092500
3,5,3322374979374,3322374982782,0,0,3322375129723
4,6,3322374979544,3322374983635,0,0,3322375166842
5,7,3322374979715,3322374984066,0,0,3322375204051
6,0,3322374979884,3322374984496,0,0,3322375241228
7,1,3322374980053,3322374984496,0,0,3322375278611
8,2,3322375278786,3322375280025,0,0,3322375317196
9,3,3322375278942,3322375279408,0,0,3322375317355
