item,buf_idx,ts_read_submit_us,ts_nvme_done_us,ts_h2d_submit_us,ts_h2d_done_us,ts_slot_release_us
0,2,3322580296114,3322580297520,3322580325199,3322580325833,3322580325845
1,3,3322580296292,3322580298421,3322580353440,3322580354000,3322580354009
2,4,3322580296491,3322580299319,3322580381554,3322580382106,3322580382114
3,5,3322580296668,3322580299770,3322580409634,3322580410187,3322580410195
4,6,3322580296842,3322580301119,3322580437725,3322580438251,3322580438259
5,7,3322580297016,3322580301982,3322580465860,3322580466412,3322580466421
6,8,3322580297189,3322580303700,3322580493982,3322580494534,3322580494543
7,9,3322580297363,3322580302410,3322580522112,3322580522660,3322580522669
8,10,3322580297818,3322580303699,3322580550228,3322580550782,3322580550791
9,11,3322580298263,3322580303699,3322580578297,3322580578847,3322580578856
10,12,3322580298711,3322580305857,3322580606422,3322580606969,3322580606978
11,13,3322580299161,3322580305427,3322580634555,3322580635106,3322580635115
12,14,3322580299612,3322580305427,3322580662920,3322580663481,3322580663490
13,15,3322580300059,3322580306287,3322580691013,3322580691562,3322580691570
14,0,3322580300506,3322580306717,3322580719084,3322580719632,3322580719641
15,1,3322580300959,3322580306718,3322580747182,3322580747734,3322580747742
16,2,3322580747926,3322580749032,3322580776411,3322580776959,3322580776967
17,3,3322580748083,3322580748718,3322580776976,3322580777334,3322580777339
