item,buf_idx,queue_depth,ts_slot_wait_us,ts_slot_acquire_us,ts_dma_submit_us,ts_dma_done_us,ts_nvme_submit_us,ts_nvme_done_us,ts_slot_release_us,slot_wait_us,dma_us,nvme_us,total_e2e_us
0,0,1,3320774440709,3320774440710,3320774440710,3320774441364,3320774511979,3320774512837,3320774512837,1,654,858,72127
1,1,1,3320774440983,3320774440983,3320774440983,3320774458868,3320774511996,3320774530620,3320774530620,0,17885,18624,89637
2,2,1,3320774440998,3320774440998,3320774440998,3320774476431,3320774512014,3320774530623,3320774530623,0,35433,18609,89625
3,3,1,3320774441020,3320774441020,3320774441020,3320774494290,3320774512031,3320774530626,3320774530626,0,53270,18595,89606
4,0,1,3320774512837,3320774512837,3320774512837,3320774513210,3320774530456,3320774583574,3320774583574,0,373,53118,70737
5,1,1,3320774530627,3320774530627,3320774530627,3320774531000,3320774583372,3320774584248,3320774584248,0,373,876,53621
6,2,1,3320774530652,3320774530652,3320774530652,3320774548686,3320774583387,3320774585184,3320774585185,0,18034,1797,54532
7,3,1,3320774530664,3320774530664,3320774530664,3320774565975,3320774583403,3320774585964,3320774585964,0,35311,2561,55300
8,0,1,3320774583575,3320774583575,3320774583575,3320774583762,3320774583774,3320774585964,3320774585964,0,187,2190,2389
