item,buf_idx,ts_read_submit_us,ts_nvme_done_us,ts_h2d_submit_us,ts_h2d_done_us,ts_slot_release_us
0,2,3322379430397,3322379431755,0,0,3322379469265
1,3,3322379430569,3322379432644,0,0,3322379506764
2,4,3322379430741,3322379433535,0,0,3322379544177
3,5,3322379430913,3322379433978,0,0,3322379581352
4,6,3322379431086,3322379434864,0,0,3322379618726
5,7,3322379431257,3322379436192,0,0,3322379656337
6,8,3322379431430,3322379436618,0,0,3322379693836
7,9,3322379431601,3322379436619,0,0,3322379731079
8,10,3322379432046,3322379437919,0,0,3322379768430
9,11,3322379432489,3322379438348,0,0,3322379805711
10,12,3322379432930,3322379440052,0,0,3322379843044
11,13,3322379433379,3322379440052,0,0,3322379880370
12,14,3322379433822,3322379440480,0,0,3322379917562
13,15,3322379434263,3322379440910,0,0,3322379954732
14,0,3322379434709,3322379440910,0,0,3322379992110
15,1,3322379435176,3322379440910,0,0,3322380029604
16,2,3322380029783,3322380030857,0,0,3322380068150
17,3,3322380029938,3322380030394,0,0,3322380068311
