item,buf_idx,ts_read_submit_us,ts_nvme_done_us,ts_h2d_submit_us,ts_h2d_done_us,ts_slot_release_us
0,0,3322239584988,3322239585615,3322239592323,3322239592519,3322239592527
1,0,3322239592533,3322239593004,3322239599667,3322239599845,3322239599851
2,0,3322239599857,3322239600483,3322239607175,3322239607355,3322239607360
3,0,3322239607366,3322239607996,3322239614592,3322239614771,3322239614776
4,0,3322239614939,3322239615525,3322239622146,3322239622324,3322239622330
5,0,3322239622336,3322239622966,3322239629624,3322239629812,3322239629819
6,0,3322239629824,3322239630450,3322239637115,3322239637293,3322239637298
7,0,3322239637303,3322239637773,3322239644367,3322239644544,3322239644550
8,0,3322239644712,3322239644869,3322239644877,3322239645046,3322239645051
