Device_id,event,ddr(KB),hbm(KB),memory(KB),timestamp(us)
2,APP,0.0,4060608.0,4060608.0,1788521715558785.670	
2,APP,0.0,4064828.0,4064828.0,1788521715658765.670	
2,APP,0.0,4064832.0,4064832.0,1788521715758762.670	
2,APP,0.0,4064832.0,4064832.0,1788521715858763.670	
2,APP,0.0,4064832.0,4064832.0,1788521715958762.670	
2,APP,0.0,4064832.0,4064832.0,1788521716058762.670	
2,APP,0.0,4064832.0,4064832.0,1788521716158762.670	
2,APP,0.0,4064832.0,4064832.0,1788521716258762.670	
2,APP,0.0,4064832.0,4064832.0,1788521716358762.670	
2,APP,0.0,4064832.0,4064832.0,1788521716458762.670	
2,APP,0.0,4064832.0,4064832.0,1788521716558761.670	
2,APP,0.0,4064832.0,4064832.0,1788521716658762.670	
2,APP,0.0,4064832.0,4064832.0,1788521716758762.670	
2,APP,0.0,4064832.0,4064832.0,1788521716858762.670	
2,APP,0.0,4064832.0,4064832.0,1788521716958762.670	
2,APP,0.0,4064832.0,4064832.0,1788521717058762.670	
2,APP,0.0,4064832.0,4064832.0,1788521717158762.670	
2,APP,0.0,4064832.0,4064832.0,1788521717258762.670	
2,APP,0.0,4064832.0,4064832.0,1788521717358762.670	
2,APP,0.0,4064832.0,4064832.0,1788521717458762.670	
2,APP,0.0,4064832.0,4064832.0,1788521717558761.670	
2,APP,0.0,4064832.0,4064832.0,1788521717658762.670	
2,APP,0.0,4064832.0,4064832.0,1788521717758762.670	
2,APP,0.0,4064832.0,4064832.0,1788521717858763.670	
2,APP,0.0,4064832.0,4064832.0,1788521717958762.670	
2,APP,0.0,4064832.0,4064832.0,1788521718058762.670	
2,APP,0.0,4064832.0,4064832.0,1788521718158762.670	
2,APP,0.0,4064832.0,4064832.0,1788521718258761.670	
2,APP,0.0,4064832.0,4064832.0,1788521718358768.670	
2,APP,0.0,4064832.0,4064832.0,1788521718458764.670	
2,APP,0.0,4064832.0,4064832.0,1788521718558761.670	
2,APP,0.0,4064832.0,4064832.0,1788521718658762.670	
2,APP,0.0,4064832.0,4064832.0,1788521718758762.670	
2,APP,0.0,4064832.0,4064832.0,1788521718858762.670	
