Device_id,Component,Timestamp(us),Total Reserved(KB),Device
2,SLOG,1788521715717609.010	,0,NPU:2
2,SLOG,1788521715817507.110	,0,NPU:2
2,SLOG,1788521715917521.690	,0,NPU:2
2,SLOG,1788521716017500.850	,0,NPU:2
2,SLOG,1788521716117496.720	,0,NPU:2
2,SLOG,1788521716217498.410	,0,NPU:2
2,SLOG,1788521716317498.850	,0,NPU:2
2,SLOG,1788521716417493.750	,0,NPU:2
2,SLOG,1788521716517491.820	,0,NPU:2
2,SLOG,1788521716617496.280	,0,NPU:2
2,SLOG,1788521716717508.190	,0,NPU:2
2,SLOG,1788521716817485.940	,0,NPU:2
2,SLOG,1788521716917484.470	,0,NPU:2
2,SLOG,1788521717017488.270	,0,NPU:2
2,SLOG,1788521717117483.220	,0,NPU:2
2,SLOG,1788521717217482.040	,0,NPU:2
2,SLOG,1788521717317480.430	,0,NPU:2
2,SLOG,1788521717417480.690	,0,NPU:2
2,SLOG,1788521717517484.320	,0,NPU:2
2,SLOG,1788521717617581.330	,0,NPU:2
2,SLOG,1788521717717577.480	,0,NPU:2
2,SLOG,1788521717817570.050	,0,NPU:2
2,SLOG,1788521717917581.300	,0,NPU:2
2,SLOG,1788521718017595.830	,0,NPU:2
2,SLOG,1788521718117588.260	,0,NPU:2
2,SLOG,1788521718217553.620	,0,NPU:2
2,SLOG,1788521718317545.820	,0,NPU:2
2,SLOG,1788521718417544.850	,0,NPU:2
2,SLOG,1788521718517552.880	,0,NPU:2
2,SLOG,1788521718617566.570	,0,NPU:2
2,SLOG,1788521718717534.440	,0,NPU:2
2,SLOG,1788521718817557.590	,0,NPU:2
2,SLOG,1788521718917546.040	,0,NPU:2
2,SLOG,1788521719017598.920	,0,NPU:2
2,SLOG,1788521719117573.930	,0,NPU:2
2,SLOG,1788521719217574.890	,0,NPU:2
2,SLOG,1788521719317576.240	,0,NPU:2
2,SLOG,1788521719417575.730	,0,NPU:2
2,SLOG,1788521719517600.860	,0,NPU:2
2,SLOG,1788521719617577.360	,0,NPU:2
2,SLOG,1788521719717571.140	,0,NPU:2
2,SLOG,1788521719817533.560	,0,NPU:2
2,SLOG,1788521719917547.890	,0,NPU:2
2,SLOG,1788521720017528.120	,0,NPU:2
2,SLOG,1788521720117533.380	,0,NPU:2
2,SLOG,1788521720217524.250	,0,NPU:2
2,SLOG,1788521720317532.500	,0,NPU:2
2,SLOG,1788521720417554.440	,0,NPU:2
2,SLOG,1788521720517549.870	,0,NPU:2
2,SLOG,1788521720579916.380	,0,NPU:2
2,IDEDD,1788521715717609.010	,0,NPU:2
2,IDEDD,1788521715817507.110	,0,NPU:2
2,IDEDD,1788521715917521.690	,0,NPU:2
2,IDEDD,1788521716017500.850	,0,NPU:2
2,IDEDD,1788521716117496.720	,0,NPU:2
2,IDEDD,1788521716217498.410	,0,NPU:2
2,IDEDD,1788521716317498.850	,0,NPU:2
2,IDEDD,1788521716417493.750	,0,NPU:2
2,IDEDD,1788521716517491.820	,0,NPU:2
2,IDEDD,1788521716617496.280	,0,NPU:2
2,IDEDD,1788521716717508.190	,0,NPU:2
2,IDEDD,1788521716817485.940	,0,NPU:2
2,IDEDD,1788521716917484.470	,0,NPU:2
2,IDEDD,1788521717017488.270	,0,NPU:2
2,IDEDD,1788521717117483.220	,0,NPU:2
2,IDEDD,1788521717217482.040	,0,NPU:2
2,IDEDD,1788521717317480.430	,0,NPU:2
2,IDEDD,1788521717417480.690	,0,NPU:2
2,IDEDD,1788521717517484.320	,0,NPU:2
2,IDEDD,1788521717617581.330	,0,NPU:2
2,IDEDD,1788521717717577.480	,0,NPU:2
2,IDEDD,1788521717817570.050	,0,NPU:2
2,IDEDD,1788521717917581.300	,0,NPU:2
2,IDEDD,1788521718017595.830	,0,NPU:2
2,IDEDD,1788521718117588.260	,0,NPU:2
2,IDEDD,1788521718217553.620	,0,NPU:2
2,IDEDD,1788521718317545.820	,0,NPU:2
2,IDEDD,1788521718417544.850	,0,NPU:2
2,IDEDD,1788521718517552.880	,0,NPU:2
2,IDEDD,1788521718617566.570	,0,NPU:2
2,IDEDD,1788521718717534.440	,0,NPU:2
2,IDEDD,1788521718817557.590	,0,NPU:2
2,IDEDD,1788521718917546.040	,0,NPU:2
2,IDEDD,1788521719017598.920	,0,NPU:2
2,IDEDD,1788521719117573.930	,0,NPU:2
2,IDEDD,1788521719217574.890	,0,NPU:2
2,IDEDD,1788521719317576.240	,0,NPU:2
2,IDEDD,1788521719417575.730	,0,NPU:2
2,IDEDD,1788521719517600.860	,0,NPU:2
2,IDEDD,1788521719617577.360	,0,NPU:2
2,IDEDD,1788521719717571.140	,0,NPU:2
2,IDEDD,1788521719817533.560	,0,NPU:2
2,IDEDD,1788521719917547.890	,0,NPU:2
2,IDEDD,1788521720017528.120	,0,NPU:2
2,IDEDD,1788521720117533.380	,0,NPU:2
2,IDEDD,1788521720217524.250	,0,NPU:2
2,IDEDD,1788521720317532.500	,0,NPU:2
2,IDEDD,1788521720417554.440	,0,NPU:2
2,IDEDD,1788521720517549.870	,0,NPU:2
2,IDEDD,1788521720579916.380	,0,NPU:2
2,IDEDH,1788521715717609.010	,0,NPU:2
2,IDEDH,1788521715817507.110	,0,NPU:2
2,IDEDH,1788521715917521.690	,0,NPU:2
2,IDEDH,1788521716017500.850	,0,NPU:2
2,IDEDH,1788521716117496.720	,0,NPU:2
2,IDEDH,1788521716217498.410	,0,NPU:2
2,IDEDH,1788521716317498.850	,0,NPU:2
2,IDEDH,1788521716417493.750	,0,NPU:2
2,IDEDH,1788521716517491.820	,0,NPU:2
2,IDEDH,1788521716617496.280	,0,NPU:2
2,IDEDH,1788521716717508.190	,0,NPU:2
