Device_id,kernel_name,kernel_type,stream_id,task_id,task_time(us),task_start(us),task_stop(us)
2,aclnnMm_MatMulCommon_MatMulV2,KERNEL_AICORE,2,5600,11.3,1788521719867287.350	,1788521719867298.650	
2,aclnnCast_CastAiCore_Cast,KERNEL_AIVEC,2,5601,5.64,1788521719867298.690	,1788521719867304.330	
2,aclnnMm_MatMulCommon_MatMulV2,KERNEL_AICORE,2,5602,16.24,1788521719867304.350	,1788521719867320.590	
2,aclnnMatmul_BatchMatMulNd_BatchMatMulV2,KERNEL_AICORE,2,5603,22.58,1788521719867320.610	,1788521719867343.190	
2,RealDiv8,KERNEL_AIVEC,2,5604,8.24,1788521719867343.210	,1788521719867351.450	
2,aclnnPermute_TransposeAiCore_Transpose,KERNEL_AIVEC,2,5605,16.86,1788521719867351.490	,1788521719867368.350	
2,aclnnMatmul_BatchMatMulNd_BatchMatMulV2,KERNEL_AICORE,2,5606,21.38,1788521719867368.370	,1788521719867389.750	
2,RealDiv8,KERNEL_AIVEC,2,5607,5.2,1788521719867389.790	,1788521719867394.990	
2,aclnnPermute_TransposeAiCore_Transpose,KERNEL_AIVEC,2,5608,24.18,1788521719867395.010	,1788521719867419.190	
2,aclnnReduceSum_ReduceSumOpAiCore_ReduceSum,KERNEL_AICORE,2,5609,12.22,1788521719867419.230	,1788521719867431.450	
2,aclnnCast_CastAiCore_Cast,KERNEL_AIVEC,2,5610,1.26,1788521719867431.470	,1788521719867432.730	
2,aclnnMm_MatMulCommon_MatMulV2,KERNEL_AICORE,2,5611,10.32,1788521719867432.770	,1788521719867443.090	
2,aclnnCast_CastAiCore_Cast,KERNEL_AIVEC,2,5612,6.48,1788521719867443.110	,1788521719867449.590	
2,aclnnMm_MatMulCommon_MatMulV2,KERNEL_AICORE,2,5613,14.88,1788521719867449.610	,1788521719867464.490	
2,aclnnReduceSum_ReduceSumOpAiCore_ReduceSum,KERNEL_AICORE,2,5614,10.54,1788521719867464.510	,1788521719867475.050	
