item,buf_idx,ts_read_submit_us,ts_nvme_done_us,ts_h2d_submit_us,ts_h2d_done_us,ts_slot_release_us
0,2,3322274807023,3322274809081,3322274836918,3322274837295,3322274837304
1,3,3322274807199,3322274809984,3322274864927,3322274865284,3322274865292
2,4,3322274807372,3322274810428,3322274892717,3322274893068,3322274893076
3,5,3322274807545,3322274810875,3322274920626,3322274920964,3322274920972
4,6,3322274807718,3322274811756,3322274948444,3322274948792,3322274948799
5,7,3322274807891,3322274812194,3322274976387,3322274976733,3322274976740
6,8,3322274808064,3322274813516,3322275004203,3322275004550,3322275004557
7,9,3322274808236,3322274813516,3322275032036,3322275032383,3322275032390
8,10,3322274808409,3322274813976,3322275059715,3322275060061,3322275060069
9,11,3322274808581,3322274814417,3322275087592,3322275087939,3322275087947
10,12,3322274808753,3322274815297,3322275115438,3322275115785,3322275115792
11,13,3322274808925,3322274815736,3322275143227,3322275143576,3322275143583
12,14,3322274809374,3322274817484,3322275171107,3322275171452,3322275171460
13,15,3322274809825,3322274817484,3322275198926,3322275199276,3322275199283
14,16,3322274810270,3322274817483,3322275226810,3322275227158,3322275227165
15,17,3322274810717,3322274818834,3322275254762,3322275255116,3322275255123
16,18,3322274811162,3322274819273,3322275282667,3322275283078,3322275283085
17,19,3322274811598,3322274821027,3322275310633,3322275310985,3322275310993
18,20,3322274812037,3322274821027,3322275338607,3322275338954,3322275338961
19,21,3322274812475,3322274821028,3322275366611,3322275366959,3322275366967
20,22,3322274812915,3322274821028,3322275394358,3322275394707,3322275394714
21,23,3322274813358,3322274822756,3322275422103,3322275422456,3322275422463
22,24,3322274813816,3322274822756,3322275450075,3322275450429,3322275450436
23,25,3322274814258,3322274823612,3322275477865,3322275478204,3322275478211
24,26,3322274814702,3322274824473,3322275505456,3322275505871,3322275505880
25,27,3322274815140,3322274824907,3322275533286,3322275533634,3322275533641
26,28,3322274815579,3322274824906,3322275561134,3322275561481,3322275561488
27,29,3322274816012,3322274826215,3322275588967,3322275589314,3322275589322
28,31,3322274816884,3322274826643,3322275616869,3322275617218,3322275617225
29,0,3322274817325,3322274827077,3322275644634,3322275644982,3322275644989
30,30,3322274818229,3322274827078,3322275672842,3322275673190,3322275673198
31,1,3322274818675,3322274827078,3322275700718,3322275701064,3322275701072
32,2,3322275701257,3322275702332,3322275729886,3322275730233,3322275730241
33,3,3322275701414,3322275701887,3322275730249,3322275730389,3322275730394
