item,buf_idx,queue_depth,ts_slot_wait_us,ts_slot_acquire_us,ts_dma_submit_us,ts_dma_done_us,ts_nvme_submit_us,ts_nvme_done_us,ts_slot_release_us,slot_wait_us,dma_us,nvme_us,total_e2e_us
0,0,1,3322273653228,3322273653229,3322273653229,3322273653979,3322273682735,3322273683761,3322273683761,1,750,1026,30532
1,1,1,3322273653525,3322273653525,3322273653525,3322273654560,3322273710459,3322273711490,3322273711490,0,1035,1031,57965
2,2,1,3322273653542,3322273653542,3322273653542,3322273654569,3322273738246,3322273739263,3322273739263,0,1027,1017,85721
3,3,1,3322273653575,3322273653575,3322273653575,3322273654577,3322273765874,3322273766895,3322273766896,0,1002,1021,113320
4,4,1,3322273653760,3322273653761,3322273653761,3322273655085,3322273793514,3322273794552,3322273794552,1,1324,1038,140791
5,5,1,3322273653777,3322273653777,3322273653777,3322273655094,3322273821290,3322273822309,3322273822310,0,1317,1019,168532
6,6,1,3322273653791,3322273653791,3322273653791,3322273655101,3322273848825,3322273849873,3322273849873,0,1310,1048,196082
7,7,1,3322273653802,3322273653802,3322273653802,3322273655674,3322273876393,3322273877383,3322273877384,0,1872,990,223581
8,8,1,3322273654279,3322273654280,3322273654280,3322273655683,3322273904024,3322273905045,3322273905045,1,1403,1021,250765
9,9,1,3322273654299,3322273654299,3322273654299,3322273655690,3322273931681,3322273932695,3322273932696,0,1391,1014,278396
10,10,1,3322273654313,3322273654314,3322273654314,3322273656196,3322273959368,3322273960382,3322273960382,1,1882,1014,306068
11,11,1,3322273654328,3322273654328,3322273654328,3322273656205,3322273987032,3322273988059,3322273988059,0,1877,1027,333731
12,12,1,3322273654856,3322273654857,3322273654857,3322273656213,3322274014643,3322274015658,3322274015659,1,1356,1015,360801
13,13,1,3322273654875,3322273654875,3322273654875,3322273656839,3322274042148,3322274043173,3322274043173,0,1964,1025,388298
14,14,1,3322273654890,3322273654890,3322273654890,3322273656848,3322274069827,3322274070859,3322274070859,0,1958,1032,415969
15,15,1,3322273654906,3322273654906,3322273654906,3322273656855,3322274097523,3322274098543,3322274098543,0,1949,1020,443637
16,16,1,3322273655393,3322273655393,3322273655393,3322273657362,3322274125027,3322274126052,3322274126052,0,1969,1025,470659
17,17,1,3322273655413,3322273655413,3322273655413,3322273657371,3322274152772,3322274153794,3322274153794,0,1958,1022,498381
18,18,1,3322273655429,3322273655429,3322273655429,3322273657826,3322274180404,3322274181421,3322274181421,0,2397,1017,525992
19,19,1,3322273655442,3322273655442,3322273655442,3322273657836,3322274207893,3322274208908,3322274208909,0,2394,1015,553466
20,20,1,3322273655975,3322273655975,3322273655975,3322273657844,3322274235503,3322274236522,3322274236522,0,1869,1019,580547
21,21,1,3322273655992,3322273655992,3322273655992,3322273658287,3322274263182,3322274264203,3322274264203,0,2295,1021,608211
22,22,1,3322273656006,3322273656006,3322273656006,3322273658296,3322274290821,3322274291813,3322274291813,0,2290,992,635807
23,23,1,3322273656019,3322273656019,3322273656019,3322273658725,3322274318527,3322274319544,3322274319544,0,2706,1017,663525
24,24,1,3322273656499,3322273656499,3322273656499,3322273658733,3322274346141,3322274347156,3322274347157,0,2234,1015,690657
25,25,1,3322273656517,3322273656517,3322273656517,3322273659190,3322274373623,3322274374652,3322274374652,0,2673,1029,718135
26,26,1,3322273656540,3322273656540,3322273656540,3322273659199,3322274401251,3322274402280,3322274402280,0,2659,1029,745740
27,27,1,3322273656554,3322273656554,3322273656554,3322273659206,3322274428767,3322274429787,3322274429787,0,2652,1020,773233
28,28,1,3322273657139,3322273657139,3322273657139,3322273659645,3322274456260,3322274457285,3322274457286,0,2506,1025,800146
29,29,1,3322273657157,3322273657157,3322273657157,3322273659654,3322274483888,3322274484902,3322274484903,0,2497,1014,827745
30,30,1,3322273657172,3322273657172,3322273657172,3322273660090,3322274511423,3322274512452,3322274512453,0,2918,1029,855280
31,31,1,3322273657185,3322273657185,3322273657185,3322273660095,3322274540495,3322274541428,3322274541428,0,2910,933,884243
32,0,1,3322274541584,3322274541585,3322274541585,3322274542093,3322274569626,3322274570578,3322274570579,1,508,952,28993
33,1,1,3322274541688,3322274541688,3322274541688,3322274542104,3322274569794,3322274570579,3322274570579,0,416,785,28891
