item,buf_idx,ts_read_submit_us,ts_nvme_done_us,ts_h2d_submit_us,ts_h2d_done_us,ts_slot_release_us
0,0,3320771631907,3320771634093,3320771651654,3320771652028,3320771652037
1,0,3320771652056,3320771653304,3320771670900,3320771671245,3320771671250
2,0,3320771671268,3320771672370,3320771689719,3320771690055,3320771690060
3,0,3320771690077,3320771691329,3320771708560,3320771708899,3320771708904
4,0,3320771708920,3320771710130,3320771727456,3320771727796,3320771727801
5,0,3320771727817,3320771728912,3320771746255,3320771746587,3320771746593
6,0,3320771746609,3320771747729,3320771765059,3320771765396,3320771765401
7,0,3320771765417,3320771766508,3320771783814,3320771784148,3320771784153
8,0,3320771784155,3320771784311,3320771784322,3320771784491,3320771784495
