item,buf_idx,ts_read_submit_us,ts_nvme_done_us,ts_h2d_submit_us,ts_h2d_done_us,ts_slot_release_us
0,1,3320817679485,3320817681258,0,0,3320817699137
1,2,3320817679656,3320817699305,0,0,3320817717308
2,3,3320817679827,3320817699310,0,0,3320817735219
3,4,3320817679997,3320817735408,0,0,3320817753424
4,5,3320817680167,3320817699315,0,0,3320817771384
5,6,3320817680336,3320817735413,0,0,3320817789260
6,7,3320817680471,3320817735412,0,0,3320817807103
7,0,3320817680641,3320817735413,0,0,3320817825175
8,1,3320817699140,3320817735414,0,0,3320817825183
