item,buf_idx,queue_depth,ts_slot_wait_us,ts_slot_acquire_us,ts_dma_submit_us,ts_dma_done_us,ts_nvme_submit_us,ts_nvme_done_us,ts_slot_release_us,slot_wait_us,dma_us,nvme_us,total_e2e_us
0,0,1,3320780485216,3320780485216,3320780485216,3320780485772,3320780626968,3320780627855,3320780627856,0,556,887,142639
1,1,1,3320780485482,3320780485482,3320780485482,3320780503441,3320780626984,3320780628749,3320780628750,0,17959,1765,143267
2,2,1,3320780485497,3320780485497,3320780485497,3320780520978,3320780627000,3320780629647,3320780629647,0,35481,2647,144150
3,3,1,3320780485519,3320780485519,3320780485519,3320780538650,3320780627015,3320780630428,3320780630428,0,53131,3413,144909
4,4,1,3320780485534,3320780485534,3320780485534,3320780556241,3320780627032,3320780631326,3320780631326,0,70707,4294,145792
5,5,1,3320780485547,3320780485547,3320780485547,3320780573926,3320780627047,3320780632223,3320780632223,0,88379,5176,146676
6,6,1,3320780485560,3320780485560,3320780485560,3320780591518,3320780627063,3320780633118,3320780633118,0,105958,6055,147558
7,7,1,3320780485573,3320780485573,3320780485573,3320780609181,3320780627078,3320780633860,3320780633860,0,123608,6782,148287
8,8,1,3320780485586,3320780485586,3320780485586,3320780626902,3320780627079,3320780633860,3320780633860,0,141316,6781,148274
