item,buf_idx,ts_read_submit_us,ts_nvme_done_us,ts_h2d_submit_us,ts_h2d_done_us,ts_slot_release_us
0,2,3322418969682,3322418973179,0,0,3322419124417
1,3,3322418969904,3322418976682,0,0,3322419274707
2,4,3322418970123,3322418979771,0,0,3322419425367
3,5,3322418970299,3322418981106,0,0,3322419576183
4,10,3322418973023,3322418985060,0,0,3322419727144
5,6,3322418976527,3322418986834,0,0,3322419877685
6,12,3322418978739,3322418988593,0,0,3322420027001
7,1,3322418980949,3322418992106,0,0,3322420177948
8,15,3322418984022,3322418993876,0,0,3322420327102
9,11,3322418986231,3322418995636,0,0,3322420477318
10,8,3322418988439,3322418999160,0,0,3322420628207
11,13,3322418991506,3322419000933,0,0,3322420777638
12,14,3322418993721,3322419003084,0,0,3322420927259
13,7,3322418995917,3322419006515,0,0,3322421078298
14,0,3322418998564,3322419008230,0,0,3322421228908
15,9,3322419000776,3322419009516,0,0,3322421379503
16,2,3322421379736,3322421382733,0,0,3322421533494
17,3,3322421379894,3322421381988,0,0,3322421533659
