item,buf_idx,queue_depth,ts_slot_wait_us,ts_slot_acquire_us,ts_dma_submit_us,ts_dma_done_us,ts_nvme_submit_us,ts_nvme_done_us,ts_slot_release_us,slot_wait_us,dma_us,nvme_us,total_e2e_us
0,0,1,3320795574569,3320795574570,3320795574570,3320795575930,3320796143811,3320796147216,3320796147217,1,1360,3405,572646
1,1,1,3320795574855,3320795574855,3320795574855,3320795646770,3320796143879,3320796150772,3320796150772,0,71915,6893,575917
2,2,1,3320795574869,3320795574869,3320795574869,3320795718215,3320796143943,3320796154157,3320796154157,0,143346,10214,579288
3,3,1,3320795575050,3320795575050,3320795575050,3320795789350,3320796144168,3320796157870,3320796157870,0,214300,13702,582820
4,4,1,3320795575061,3320795575061,3320795575061,3320795860610,3320796147387,3320796161683,3320796161684,0,285549,14296,586622
5,5,1,3320795575070,3320795575070,3320795575070,3320795931490,3320796150779,3320796165394,3320796165394,0,356420,14615,590324
6,6,1,3320795575079,3320795575080,3320795575080,3320796001915,3320796154327,3320796169024,3320796169024,1,426835,14697,593944
7,7,1,3320795575088,3320795575088,3320795575088,3320796072514,3320796158039,3320796172929,3320796172929,0,497426,14890,597841
8,8,1,3320795575098,3320795575098,3320795575098,3320796143669,3320796158039,3320796172929,3320796172929,0,568571,14890,597831
