item,buf_idx,queue_depth,ts_slot_wait_us,ts_slot_acquire_us,ts_dma_submit_us,ts_dma_done_us,ts_nvme_submit_us,ts_nvme_done_us,ts_slot_release_us,slot_wait_us,dma_us,nvme_us,total_e2e_us
0,0,1,3320363404204,3320363404204,3320363404204,3320363404796,3320363545803,3320363546733,3320363546733,0,592,930,142529
1,1,1,3320363404501,3320363404501,3320363404501,3320363422414,3320363545819,3320363547675,3320363547676,0,17913,1856,143174
2,2,1,3320363404518,3320363404518,3320363404518,3320363440086,3320363545835,3320363548416,3320363548416,0,35568,2581,143898
3,3,1,3320363404538,3320363404538,3320363404538,3320363457793,3320363545851,3320363549313,3320363549313,0,53255,3462,144775
4,4,1,3320363404551,3320363404551,3320363404551,3320363475322,3320363545868,3320363550247,3320363550247,0,70771,4379,145696
5,5,1,3320363404567,3320363404567,3320363404567,3320363492979,3320363545884,3320363550992,3320363550992,0,88412,5108,146425
6,6,1,3320363404580,3320363404580,3320363404580,3320363510595,3320363545900,3320363551888,3320363551888,0,106015,5988,147308
7,7,1,3320363404594,3320363404594,3320363404594,3320363528090,3320363545916,3320363552785,3320363552785,0,123496,6869,148191
8,8,1,3320363404606,3320363404606,3320363404606,3320363545736,3320363545917,3320363552785,3320363552786,0,141130,6868,148179
