item,buf_idx,queue_depth,ts_slot_wait_us,ts_slot_acquire_us,ts_dma_submit_us,ts_dma_done_us,ts_nvme_submit_us,ts_nvme_done_us,ts_slot_release_us,slot_wait_us,dma_us,nvme_us,total_e2e_us
0,0,1,3320357412913,3320357412914,3320357412914,3320357413436,3320357483941,3320357484958,3320357484959,1,522,1017,72044
1,1,1,3320357413202,3320357413202,3320357413202,3320357431096,3320357483957,3320357502885,3320357502885,0,17894,18928,89683
2,2,1,3320357413218,3320357413218,3320357413218,3320357448735,3320357483971,3320357502887,3320357502887,0,35517,18916,89669
3,3,1,3320357413245,3320357413245,3320357413245,3320357466386,3320357483987,3320357502890,3320357502890,0,53141,18903,89645
4,0,1,3320357484959,3320357484959,3320357484959,3320357485338,3320357502721,3320357555563,3320357555563,0,379,52842,70604
5,1,1,3320357502891,3320357502891,3320357502891,3320357503270,3320357555366,3320357556238,3320357556238,0,379,872,53347
6,2,1,3320357502920,3320357502920,3320357502920,3320357520599,3320357555382,3320357557183,3320357557183,0,17679,1801,54263
7,3,1,3320357502932,3320357502932,3320357502932,3320357537988,3320357555397,3320357558123,3320357558123,0,35056,2726,55191
8,0,1,3320357555564,3320357555564,3320357555564,3320357555752,3320357555766,3320357558123,3320357558123,0,188,2357,2559
