item,buf_idx,ts_read_submit_us,ts_nvme_done_us,ts_h2d_submit_us,ts_h2d_done_us,ts_slot_release_us
0,2,3322773316934,3322773321217,0,0,3322773473501
1,3,3322773317156,3322773323799,0,0,3322773624330
2,4,3322773317376,3322773325563,0,0,3322773775569
3,5,3322773317548,3322773329067,0,0,3322773926487
4,22,3322773320267,3322773331261,0,0,3322774075716
5,0,3322773323203,3322773333457,0,0,3322774226804
6,10,3322773325845,3322773336543,0,0,3322774377881
7,16,3322773328470,3322773338306,0,0,3322774526985
8,23,3322773331106,3322773341396,0,0,3322774676472
9,29,3322773333742,3322773343608,0,0,3322774844228
10,7,3322773335949,3322773345392,0,0,3322774995399
11,13,3322773338150,3322773348929,0,0,3322775144926
12,21,3322773341239,3322773351530,0,0,3322775294515
13,28,3322773343450,3322773353304,0,0,3322775462594
14,8,3322773345674,3322773355988,0,0,3322775613572
15,17,3322773348326,3322773358190,0,0,3322775763376
16,25,3322773350537,3322773361274,0,0,3322775912963
17,6,3322773353149,3322773363475,0,0,3322776063719
18,18,3322773355830,3322773365647,0,0,3322776213361
19,27,3322773358035,3322773367843,0,0,3322776381404
20,12,3322773360677,3322773370468,0,0,3322776530883
21,24,3322773362884,3322773372676,0,0,3322776680750
22,11,3322773365493,3322773375297,0,0,3322776830271
23,26,3322773367684,3322773378360,0,0,3322776998686
24,15,3322773370312,3322773380147,0,0,3322777147941
25,1,3322773372522,3322773383210,0,0,3322777298501
26,31,3322773375170,3322773385881,0,0,3322777466737
27,30,3322773377336,3322773387652,0,0,3322777634572
28,14,3322773379990,3322773390274,0,0,3322777784518
29,9,3322773382611,3322773392806,0,0,3322777935111
30,19,3322773384851,3322773394905,0,0,3322778084361
31,20,3322773387497,3322773396152,0,0,3322778233692
32,2,3322778233919,3322778237004,0,0,3322778387969
33,3,3322778234076,3322778236387,0,0,3322778388129
