item,buf_idx,ts_read_submit_us,ts_nvme_done_us,ts_h2d_submit_us,ts_h2d_done_us,ts_slot_release_us
0,9,3320808515149,3320808515787,0,0,3320808520326
1,10,3320808515313,3320808520492,0,0,3320808525022
2,11,3320808515474,3320808520493,0,0,3320808529524
3,12,3320808515633,3320808520494,0,0,3320808534009
4,13,3320808520332,3320808534178,0,0,3320808538639
5,14,3320808534017,3320808538812,0,0,3320808543279
6,15,3320808538646,3320808543447,0,0,3320808547917
7,0,3320808543285,3320808548079,0,0,3320808552607
8,1,3320808547919,3320808548079,0,0,3320808552614
