item,buf_idx,queue_depth,ts_slot_wait_us,ts_slot_acquire_us,ts_dma_submit_us,ts_dma_done_us,ts_nvme_submit_us,ts_nvme_done_us,ts_slot_release_us,slot_wait_us,dma_us,nvme_us,total_e2e_us
0,0,1,3322370570577,3322370570578,3322370570578,3322370581064,3322370608242,3322370609241,3322370609241,1,10486,999,38663
1,1,1,3322370570578,3322370570578,3322370570578,3322370618513,3322370645473,3322370646485,3322370646486,0,47935,1012,75907
2,2,1,3322370570578,3322370570578,3322370570578,3322370655777,3322370682898,3322370683908,3322370683908,0,85199,1010,113330
3,3,1,3322370570578,3322370570578,3322370570578,3322370693218,3322370720288,3322370721209,3322370721210,0,122640,921,150631
4,0,1,3322370721366,3322370721367,3322370721367,3322370731757,3322370758817,3322370759825,3322370759825,1,10390,1008,38458
5,1,1,3322370721367,3322370721367,3322370721367,3322370769065,3322370796043,3322370796877,3322370796877,0,47698,834,75510
6,2,1,3322370721367,3322370721367,3322370721367,3322370806391,3322370833292,3322370834131,3322370834131,0,85024,839,112764
7,3,1,3322370721367,3322370721367,3322370721367,3322370843672,3322370870528,3322370871469,3322370871469,0,122305,941,150102
8,0,1,3322370871625,3322370871625,3322370871625,3322370871782,3322370871786,3322370871942,3322370871942,0,157,156,317
