item,buf_idx,queue_depth,ts_slot_wait_us,ts_slot_acquire_us,ts_dma_submit_us,ts_dma_done_us,ts_nvme_submit_us,ts_nvme_done_us,ts_slot_release_us,slot_wait_us,dma_us,nvme_us,total_e2e_us
0,0,1,3322358631374,3322358631375,3322358631375,3322358634019,3322358640700,3322358641044,3322358641044,1,2644,344,9669
1,1,1,3322358631375,3322358631375,3322358631375,3322358643161,3322358649821,3322358650161,3322358650161,0,11786,340,18786
2,2,1,3322358631375,3322358631375,3322358631375,3322358652267,3322358658961,3322358659303,3322358659303,0,20892,342,27928
3,3,1,3322358631375,3322358631375,3322358631375,3322358661483,3322358668393,3322358668731,3322358668732,0,30108,338,37356
4,4,1,3322358631553,3322358631554,3322358631554,3322358670867,3322358677532,3322358677876,3322358677876,1,39313,344,46322
5,5,1,3322358631554,3322358631554,3322358631554,3322358679988,3322358686614,3322358686953,3322358686953,0,48434,339,55399
6,6,1,3322358631554,3322358631554,3322358631554,3322358689099,3322358695790,3322358696131,3322358696132,0,57545,341,64577
7,7,1,3322358631554,3322358631554,3322358631554,3322358698292,3322358704864,3322358705165,3322358705166,0,66738,301,73611
8,8,1,3322358631722,3322358631722,3322358631722,3322358707357,3322358714043,3322358714381,3322358714382,0,75635,338,82659
9,9,1,3322358631722,3322358631723,3322358631723,3322358716513,3322358723221,3322358723562,3322358723562,1,84790,341,91839
10,10,1,3322358631723,3322358631723,3322358631723,3322358725722,3322358732356,3322358732698,3322358732699,0,93999,342,100975
11,11,1,3322358631723,3322358631723,3322358631723,3322358734838,3322358741444,3322358741771,3322358741772,0,103115,327,110048
12,12,1,3322358631890,3322358631890,3322358631890,3322358743886,3322358750474,3322358750819,3322358750819,0,111996,345,118929
13,13,1,3322358631890,3322358631890,3322358631890,3322358752973,3322358759556,3322358759855,3322358759855,0,121083,299,127965
14,14,1,3322358631890,3322358631890,3322358631890,3322358761964,3322358768589,3322358768927,3322358768927,0,130074,338,137037
15,15,1,3322358631890,3322358631890,3322358631890,3322358771104,3322358777799,3322358778141,3322358778142,0,139214,342,146251
16,16,1,3322358632057,3322358632058,3322358632058,3322358780305,3322358786955,3322358787294,3322358787294,1,148247,339,155236
17,17,1,3322358632058,3322358632058,3322358632058,3322358789433,3322358796120,3322358796458,3322358796458,0,157375,338,164400
18,18,1,3322358632058,3322358632058,3322358632058,3322358798605,3322358805286,3322358805629,3322358805629,0,166547,343,173571
19,19,1,3322358632058,3322358632058,3322358632058,3322358807765,3322358814432,3322358814771,3322358814772,0,175707,339,182713
20,20,1,3322358632223,3322358632224,3322358632224,3322358816930,3322358823498,3322358823806,3322358823806,1,184706,308,191582
21,21,1,3322358632224,3322358632224,3322358632224,3322358825968,3322358832562,3322358832900,3322358832901,0,193744,338,200676
22,22,1,3322358632224,3322358632224,3322358632224,3322358835059,3322358841733,3322358842073,3322358842073,0,202835,340,209849
23,23,1,3322358632224,3322358632224,3322358632224,3322358844230,3322358850818,3322358851159,3322358851159,0,212006,341,218935
24,24,1,3322358632390,3322358632390,3322358632390,3322358853313,3322358859979,3322358860323,3322358860323,0,220923,344,227933
25,25,1,3322358632390,3322358632390,3322358632390,3322358862463,3322358869096,3322358869435,3322358869435,0,230073,339,237045
26,26,1,3322358632390,3322358632390,3322358632390,3322358871588,3322358878162,3322358878465,3322358878465,0,239198,303,246075
27,27,1,3322358632390,3322358632390,3322358632390,3322358880576,3322358887201,3322358887542,3322358887542,0,248186,341,255152
28,28,1,3322358632557,3322358632557,3322358632557,3322358889713,3322358896369,3322358896711,3322358896711,0,257156,342,264154
29,29,1,3322358632557,3322358632558,3322358632558,3322358898870,3322358905460,3322358905805,3322358905806,1,266312,345,273247
30,30,1,3322358632558,3322358632558,3322358632558,3322358907959,3322358914621,3322358914964,3322358914964,0,275401,343,282406
31,31,1,3322358632558,3322358632558,3322358632558,3322358917115,3322358923722,3322358924035,3322358924035,0,284557,313,291477
32,0,1,3322358924191,3322358924191,3322358924191,3322358926883,3322358933541,3322358933867,3322358933867,0,2692,326,9676
33,1,1,3322358924191,3322358924192,3322358924192,3322358933541,3322358933707,3322358933867,3322358933867,1,9349,160,9675
