item,buf_idx,ts_read_submit_us,ts_nvme_done_us,ts_h2d_submit_us,ts_h2d_done_us,ts_slot_release_us
0,2,3322708124285,3322708126091,0,0,3322708163509
1,3,3322708124456,3322708126531,0,0,3322708200797
2,4,3322708124626,3322708127807,0,0,3322708238183
3,5,3322708124796,3322708128242,0,0,3322708275613
4,6,3322708124966,3322708128669,0,0,3322708312970
5,7,3322708125135,3322708129523,0,0,3322708350083
6,0,3322708125305,3322708129948,0,0,3322708387062
7,1,3322708125474,3322708130812,0,0,3322708424203
8,2,3322708424377,3322708425617,0,0,3322708462755
9,3,3322708424532,3322708425618,0,0,3322708462917
