item,buf_idx,queue_depth,ts_slot_wait_us,ts_slot_acquire_us,ts_dma_submit_us,ts_dma_done_us,ts_nvme_submit_us,ts_nvme_done_us,ts_slot_release_us,slot_wait_us,dma_us,nvme_us,total_e2e_us
0,0,1,3320351392715,3320351392716,3320351392716,3320351393269,3320351428588,3320351428797,3320351428798,1,553,209,36081
1,1,1,3320351392973,3320351392973,3320351392973,3320351397720,3320351428592,3320351429114,3320351429114,0,4747,522,36141
2,2,1,3320351392992,3320351392993,3320351392993,3320351402141,3320351428597,3320351429252,3320351429252,1,9148,655,36259
3,3,1,3320351393025,3320351393025,3320351393025,3320351406519,3320351428601,3320351429565,3320351429565,0,13494,964,36540
4,4,1,3320351393036,3320351393036,3320351393036,3320351410935,3320351428605,3320351429721,3320351429721,0,17899,1116,36685
5,5,1,3320351393045,3320351393046,3320351393046,3320351415355,3320351428610,3320351430034,3320351430034,1,22309,1424,36988
6,6,1,3320351393055,3320351393055,3320351393055,3320351419742,3320351428614,3320351430190,3320351430190,0,26687,1576,37135
7,7,1,3320351393069,3320351393069,3320351393069,3320351424132,3320351428618,3320351430461,3320351430461,0,31063,1843,37392
8,8,1,3320351393083,3320351393083,3320351393083,3320351428541,3320351428619,3320351430461,3320351430462,0,35458,1842,37378
