item,buf_idx,ts_read_submit_us,ts_nvme_done_us,ts_h2d_submit_us,ts_h2d_done_us,ts_slot_release_us
0,2,3322305167995,3322305172794,3322305283807,3322305284971,3322305284981
1,3,3322305168220,3322305176354,3322305395335,3322305396485,3322305396493
2,4,3322305168440,3322305177241,3322305507008,3322305508155,3322305508164
3,5,3322305168618,3322305180766,3322305618705,3322305619845,3322305619853
4,11,3322305171514,3322305184744,3322305729164,3322305730313,3322305730321
5,10,3322305174423,3322305185193,3322305840607,3322305841717,3322305841725
6,1,3322305177082,3322305189159,3322305952061,3322305953200,3322305953209
7,13,3322305179732,3322305192707,3322306062040,3322306063184,3322306063192
8,8,3322305182373,3322305193144,3322306173367,3322306174511,3322306174519
9,6,3322305185034,3322305196652,3322306284972,3322306286113,3322306286121
10,0,3322305187687,3322305200670,3322306396738,3322306397857,3322306397865
11,7,3322305190331,3322305200670,3322306508036,3322306509188,3322306509196
12,9,3322305192549,3322305204575,3322306619351,3322306620467,3322306620475
13,15,3322305195175,3322305207176,3322306730214,3322306731354,3322306731361
14,14,3322305197839,3322305207175,3322306840605,3322306841703,3322306841711
15,12,3322305200068,3322305208460,3322306950447,3322306951576,3322306951583
16,2,3322306951818,3322306954868,3322307065161,3322307066305,3322307066313
17,3,3322306951979,3322306953976,3322307066322,3322307066492,3322307066497
