item,buf_idx,ts_read_submit_us,ts_nvme_done_us,ts_h2d_submit_us,ts_h2d_done_us,ts_slot_release_us
0,2,3322265891087,3322265892626,3322265920137,3322265920509,3322265920519
1,3,3322265891263,3322265893899,3322265948056,3322265948373,3322265948381
2,4,3322265891439,3322265894333,3322265975932,3322265976280,3322265976287
3,5,3322265891615,3322265896055,3322266003810,3322266004156,3322266004163
4,6,3322265891789,3322265896055,3322266031608,3322266031953,3322266031960
5,7,3322265891964,3322265896055,3322266059443,3322266059793,3322266059799
6,0,3322265892139,3322265896913,3322266086785,3322266087133,3322266087139
7,1,3322265892312,3322265896913,3322266114745,3322266115089,3322266115096
8,2,3322266115275,3322266116525,3322266143455,3322266143801,3322266143807
9,3,3322266115432,3322266115745,3322266143815,3322266143986,3322266143990
