item,buf_idx,queue_depth,ts_slot_wait_us,ts_slot_acquire_us,ts_dma_submit_us,ts_dma_done_us,ts_nvme_submit_us,ts_nvme_done_us,ts_slot_release_us,slot_wait_us,dma_us,nvme_us,total_e2e_us
0,0,1,3322265568209,3322265568209,3322265568209,3322265568726,3322265596475,3322265597500,3322265597500,0,517,1025,29291
1,1,1,3322265568494,3322265568494,3322265568494,3322265569257,3322265624123,3322265625147,3322265625148,0,763,1024,56653
2,2,1,3322265568511,3322265568511,3322265568511,3322265569266,3322265651763,3322265652789,3322265652789,0,755,1026,84278
3,3,1,3322265568537,3322265568537,3322265568537,3322265569755,3322265679795,3322265680824,3322265680825,0,1218,1029,112287
4,4,1,3322265569029,3322265569030,3322265569030,3322265569765,3322265707549,3322265708568,3322265708568,1,735,1019,139538
5,5,1,3322265569049,3322265569049,3322265569049,3322265569772,3322265735229,3322265736244,3322265736245,0,723,1015,167195
6,6,1,3322265569063,3322265569064,3322265569064,3322265570212,3322265762704,3322265763726,3322265763726,1,1148,1022,194662
7,7,1,3322265569076,3322265569077,3322265569077,3322265570217,3322265790418,3322265791357,3322265791358,1,1140,939,222280
8,0,1,3322265791514,3322265791515,3322265791515,3322265791922,3322265819124,3322265820067,3322265820068,1,407,943,28552
9,1,1,3322265791578,3322265791578,3322265791578,3322265791930,3322265819286,3322265820068,3322265820068,0,352,782,28490
