item,buf_idx,ts_read_submit_us,ts_nvme_done_us,ts_h2d_submit_us,ts_h2d_done_us,ts_slot_release_us
0,0,3322399100339,3322399103425,0,0,3322399253783
1,0,3322399253850,3322399256890,0,0,3322399405675
2,0,3322399405739,3322399408775,0,0,3322399557618
3,0,3322399557681,3322399561003,0,0,3322399710084
4,0,3322399710300,3322399713230,0,0,3322399862048
5,0,3322399862108,3322399865262,0,0,3322400014332
6,0,3322400014394,3322400017281,0,0,3322400166129
7,0,3322400166188,3322400169425,0,0,3322400318304
8,0,3322400318464,3322400318620,0,0,3322400318627
